metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,7.5,,0.9,25.0,56.25,258.9410370370371,seed_replicates,297,True,
Output_mean,80.0,10.0,15.0,,0.9,100.0,225.0,632.082125796178,seed_replicates,297,True,
Consumption_mean,80.0,10.0,15.0,,0.9,100.0,225.0,401.23278999982665,seed_replicates,297,True,
AvgPrice_mean,1.05,0.05,0.1,,0.9,0.0025000000000000005,0.010000000000000002,0.00023510434022546925,seed_replicates,297,True,
DefaultsHH_rate,0.004,0.002,0.003,,0.9,4e-06,9e-06,3.269547325103223e-07,seed_replicates,297,True,
BankFailed_share,0.0,0.01,0.01,,0.9,0.0001,0.0001,0.0,seed_replicates,297,True,
BankResolved_share,0.05,0.03,0.05,,0.9,0.0009,0.0025000000000000005,0.0014135802469135853,seed_replicates,297,True,
BankResolutionHaircut_mean,0.02,0.01,0.02,,0.9,0.0001,0.0004,5.6575670933787585e-05,seed_replicates,297,True,
BankBailedOut_share,0.02,0.02,0.03,,0.9,0.0004,0.0009,3.086419753086414e-05,seed_replicates,297,True,
BankBailoutAmount_mean,0.2,0.2,0.3,,0.9,0.04000000000000001,0.09,0.0026345750601212588,seed_replicates,297,True,
Transfers_mean,6.5,2.0,3.0,,0.9,4.0,9.0,3.248044995175258,seed_replicates,297,True,
HH_Deposit_mean,1.5,1.0,1.5,,0.9,1.0,2.25,0.3729923937215482,seed_replicates,297,True,
Bank_Equity_mean,10.0,7.5,10.0,,0.9,56.25,100.0,5.9745779440273825,seed_replicates,297,True,
