component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,749,3,0.004005340453938585,0.006675567423230975,0.0053404539385847796,4,4
CU,0.2,749,3,0.004005340453938585,0.006675567423230975,0.0053404539385847796,4,4
CU,0.3,749,5,0.006675567423230975,0.006675567423230975,0.0053404539385847796,4,4
CU,0.4,749,5,0.006675567423230975,0.006675567423230975,0.0053404539385847796,4,4
EV,0.1,749,3,0.004005340453938585,0.009345794392523364,0.006675567423230975,3,3
EV,0.2,749,5,0.006675567423230975,0.009345794392523364,0.006675567423230975,3,3
EV,0.3,749,5,0.006675567423230975,0.009345794392523364,0.006675567423230975,3,3
EV,0.4,749,7,0.009345794392523364,0.009345794392523364,0.006675567423230975,3,3
MD,0.1,749,28,0.037383177570093455,0.1602136181575434,0.09379172229639518,1,1
MD,0.2,749,49,0.06542056074766354,0.1602136181575434,0.09379172229639518,1,1
MD,0.3,749,84,0.11214953271028037,0.1602136181575434,0.09379172229639518,1,1
MD,0.4,749,120,0.1602136181575434,0.1602136181575434,0.09379172229639518,1,1
OU,0.1,749,8,0.010680907877169559,0.037383177570093455,0.026368491321762347,2,2
OU,0.2,749,18,0.02403204272363151,0.037383177570093455,0.026368491321762347,2,2
OU,0.3,749,25,0.03337783711615487,0.037383177570093455,0.026368491321762347,2,2
OU,0.4,749,28,0.037383177570093455,0.037383177570093455,0.026368491321762347,2,2
