,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,68,0.31999999999999995,86.8454056569138,96.28037401060197,96.28037401060197,260.8410368803883,8.857425424966145,2.587231175463893,65.84820538786704,26.964579869323785,91.6743531483996,0.0,1.0592225159946995,50.0,92.81278525719082,94.2615843238635,False,False,0.0,0.0,False,0.0,0,0,0,True
1,80,0.19999999999999996,100.13304433463723,113.72160412942294,113.72160412942294,187.42755973000303,10.420500499960175,0.2746425445201424,141.55808472665788,30.439361642301417,107.85218017458776,0.0,1.0592225159946995,50.0,171.9974463689593,108.1268227191079,False,False,0.0,0.0,False,0.0,0,0,0,True
2,90,0.09999999999999998,111.84246590749446,127.9368046456008,127.9368046456008,190.5314555634755,11.723063062455191,0.09567095896975127,210.84078068231221,26.170794424181963,121.57927020046802,0.0,1.0592225159946995,50.0,237.01157510649418,121.67494115943776,False,False,0.0,0.0,False,0.0,0,0,0,True
3,90,0.09999999999999998,117.23063062455195,127.9368046456008,127.9368046456008,158.23527512068836,11.723063062455191,0.08900680341603781,243.83460518568813,16.786141190202898,123.7749881819378,0.0,1.0592225159946995,50.0,260.62074637589103,123.86399498535384,False,False,0.0,0.0,False,0.0,0,0,0,True
4,92,0.07999999999999996,118.35690687182287,127.50903621689449,131.16283424824385,135.1904759756726,11.983575574954195,0.08287794223025066,252.97954552406588,10.543671894608059,126.83325118652614,3.6537980313493907,1.0592225159946995,50.0,263.52321741867394,126.9161291287564,False,False,0.0,0.0,False,0.0,0,0,0,True
5,92,0.07999999999999996,118.99166323173239,123.67295403182479,131.16283424824385,129.54246779303134,11.983575574954195,0.0829279945321299,256.009310382715,6.282712878186985,125.39208871269143,11.143678247768488,1.0592225159946995,50.0,262.292023260902,125.47501670722356,False,False,0.0,0.0,False,0.0,0,0,0,True
6,92,0.07999999999999996,117.89256756235984,118.69030578107312,131.16283424824385,124.32334324312447,11.983575574954195,0.08292713711198371,254.97248940258197,2.7289700059222524,121.94312399438142,23.616206714939242,1.0592225159946995,50.0,257.7014594085042,122.0260511314934,False,False,0.0,0.0,False,0.0,0,0,0,True
7,92,0.07999999999999996,116.18518349740538,114.74594656091949,131.16283424824385,120.19178488227695,11.983575574954195,0.08292303815059163,251.49324174975953,0.5568641056365744,118.33313921388661,40.033094402263615,1.0592225159946995,50.0,252.0501058553961,118.41606225203721,False,False,0.0,0.0,False,0.0,0,0,0,True
8,92,0.07999999999999996,114.99232615488765,114.80904838264757,131.16283424824385,119.41264042131844,11.983575574954195,0.08292008938211144,248.36635938463448,0.0,117.25062724945624,56.386880267859894,1.049255317543404,50.0,248.36635938463448,117.33354733883836,False,False,0.0,0.0,False,0.0,0,0,0,True
9,90,0.09999999999999998,114.56945005924847,121.85180412581938,128.54909327016426,125.74594866454001,11.723063062455193,0.08129030856260026,252.19939511670106,0.0,123.56201965892936,63.08416941220479,1.0396641172366974,50.0,252.19939511670106,123.64330996749196,False,False,0.0,0.0,False,0.0,0,0,0,True
