,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,Transfers,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,Bank_Equity,Bank_Loans,Bank_Deposits,BankFailed,BankResolved,BankResolutionAmount,BankResolutionHaircut,BankBailedOut,BankBailoutAmount,Defaults,DefaultsHH,DefaultsFirm,BalanceOK
0,60,0.4,60.40455984788035,63.674429533977836,63.674429533977836,184.15268637767122,6.054872266648239,10.263092396441568,20.794458638718474,9.660829049189381,76.45126717311692,0.0,1.0968240003338408,50.0,30.455287687907855,86.71435956955848,False,False,0.0,0.0,False,0.0,0,0,0,True
1,81,0.18999999999999995,80.48834302265523,86.63351664889073,86.63351664889073,136.27601915686247,8.174077559975126,1.4188326680661416,60.967704554729714,19.266278724778953,91.84502863592817,0.0,1.0968240003338408,50.0,80.23398327950866,93.26386130399432,False,False,0.0,0.0,False,0.0,0,0,0,True
2,92,0.07999999999999996,91.20050014605556,99.10581621379114,99.10581621379114,144.71031227995653,9.2841374755273,0.2341559307811015,108.34511918101565,22.365837630506217,102.578745513853,0.0,1.0968240003338408,50.0,130.71095681152187,102.8129014446341,False,False,0.0,0.0,False,0.0,0,0,0,True
3,99,0.010000000000000009,98.3183430941285,107.22331197914906,107.22331197914906,152.2882124322491,9.990539239969594,0.01856325794345033,159.849149421655,21.417938858326202,110.60410321579397,0.0,1.0968240003338408,50.0,181.2670882799812,110.62266647373743,False,False,0.0,0.0,False,0.0,0,0,0,True
4,100,0.0,100.62933037194162,108.22382779714931,108.22382779714931,137.80832204323926,10.091453777747066,0.0,198.34311654106952,17.2981051606963,114.50015810166812,0.0,1.0968240003338408,50.0,215.64122170176583,114.50015810166812,False,False,0.0,0.0,False,0.0,0,0,0,True
5,100,0.0,100.91453777747066,105.71428512425352,108.22382779714931,118.59483681521125,10.091453777747066,0.0,220.10857951086936,12.775213670317468,114.62973723948058,2.5095426728957877,1.0968240003338408,50.0,232.88379318118683,114.62973723948058,False,False,0.0,0.0,False,0.0,0,0,0,True
6,100,0.0,100.91453777747066,99.02021856816823,108.22382779714931,106.72379270724075,10.091453777747066,0.0,231.55868960706522,9.200260473028344,108.64258061044414,11.713151901876842,1.0968240003338408,50.0,240.75895008009357,108.64258061044414,False,False,0.0,0.0,False,0.0,0,0,0,True
7,99,0.010000000000000009,98.92447419033569,93.17718964639688,107.22331197914906,99.07391565803515,9.990539239969594,0.0,238.2682999067001,6.507818869604018,99.39376629258992,25.759274234628997,1.0968240003338408,50.0,244.77611877630412,99.39376629258992,False,False,0.0,0.0,False,0.0,0,0,0,True
8,99,0.010000000000000009,96.66439315774946,90.78611809262287,107.66340747657765,95.98943915794712,9.990539239969594,0.0,244.63308560500963,4.869435841345784,91.92551732862057,42.63656361858377,1.086213817457498,50.0,249.50252144635542,91.92551732862057,False,False,0.0,0.0,False,0.0,0,0,0,True
9,96,0.040000000000000036,92.67139415371352,87.74098916127508,104.56179045605057,92.12327080231566,9.687795626637184,0.0,251.88237001730434,3.61319391626206,86.62778261798799,59.457364913359285,1.076289825360893,50.0,255.4955639335664,86.62778261798799,False,False,0.0,0.0,False,0.0,0,0,0,True
10,91,0.08999999999999997,88.07135410999835,85.23068259904788,99.23045759838945,87.52911934297333,9.18322293774983,0.0,260.1602598944757,2.575829946522145,82.46025601326416,73.45713991270085,1.0528834304357173,50.0,262.73608984099786,82.46025601326416,False,False,0.0,0.0,False,0.0,0,0,0,True
11,90,0.09999999999999998,84.62987067756103,83.13082171938072,97.8840077028187,84.34096116978,9.08230839997236,0.0,269.3840535612438,1.5789795457171185,78.82219817255205,88.21032589613885,1.0435689429969186,50.0,270.9630331069609,78.82219817255205,False,False,0.0,0.0,False,0.0,0,0,0,True
12,86,0.14,80.71284624676645,80.15697897494815,93.87603628414949,80.45234684606602,8.678650248862477,0.0,276.44887504977777,0.6668886291137606,75.59617145975922,101.92938320534022,1.0286018253463782,48.04981213424023,277.11576367889154,75.59617145975922,False,False,0.0,0.0,False,0.0,1,1,0,True
