metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.17283790695969015,3.788970587231457,0.11728029461409276,0.07841223134390853,0.2392425082392282,3.633699768111887,-0.031981856611134576,0.23405861070577297
UnemploymentRate_mean,False,,identity,0.17283790695969026,0.03788970587231457,0.11728029461409295,0.0784122313439083,0.23804549859566115,0.036365573568329625,-0.03592660240190837,0.23790996609291232
Output_mean,False,,identity,0.6865936918904267,6.550360048276528,0.7145867720781387,0.019831885043079697,0.8151111163678626,5.031143510242855,0.8248986352533706,0.024982498768852536
Consumption_mean,False,,identity,0.66750041099754,6.22255616691511,0.6810287125258341,0.024586192663597062,0.7898806180937172,4.946594682276796,0.7596602128908233,0.0314674400290818
Transfers_mean,False,,identity,0.7192275791620553,0.5088302199090595,0.7363420454164382,0.025569819165690053,0.8325871114123771,0.3929073184703595,0.8092564384562593,0.02579505651847058
AvgPrice_mean,False,,identity,0.9181852210195098,0.03606287920779581,0.9236329165793515,0.04123851723332928,0.9796887952599511,0.01796852211285935,0.9825971617049799,0.0011756460512026923
AvgMarkup_mean,False,,identity,-0.013498414975093187,0.011896808799967476,0.0062929796241265375,0.020646713996583157,-0.2887941499609059,0.013415619218160292,-0.2170976992298268,0.052225816623604676
PriceDispersion_mean,False,,identity,0.3654668227351934,0.020981840127793198,0.3932904340147248,0.06583171145614765,0.48580520021465634,0.018887750896814808,0.4477871947465816,0.09752131256353702
InventoryGap_mean,False,,identity,0.04987324519034653,0.10646373871073642,0.06057151768128817,0.04591586031823544,0.007444316422244857,0.10881490313144376,-0.11273334607289254,0.09971972453863838
SalesForecastError_mean,False,,identity,0.3998748411441382,0.02232363401956131,0.33596613688828186,0.06128739046694157,0.38083194580093416,0.022675049690550817,0.3649530739200354,0.051483394822537984
InventoryTurnover_mean,False,,identity,0.6428328631471938,0.04867576223658041,0.7242742284928628,0.03931453974541423,0.7824056031569585,0.03799276215329732,0.8107684622030972,0.03969646161707489
CreditRequests_mean,False,,identity,0.3342750501635452,4.842394469176594,0.4187564607036885,0.06352566300221127,0.3544287815262339,4.768533390803668,0.45165272778308035,0.03934070764225056
CreditRejections_mean,False,,identity,-0.031282943871590696,13.916639652487651,-0.010294182087052484,0.025885509905156444,-0.26299714917745476,15.40091945819678,-0.2503936733391002,0.13330016559824426
CreditRejectionRate_mean,False,,identity,-0.021176951375778685,0.13947670061158163,0.009251691722284993,0.047737978222993964,-0.1948602907257515,0.15087237520568209,-0.1646903619894203,0.1612066894935588
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,True,low_variance,,,,,,,,,
UnemploymentTransfers_mean,False,,identity,0.2856308049397118,0.32653560827660416,0.2081051460332121,0.06981826640998881,0.3376487303443806,0.3144223249186648,0.14855283137127326,0.11555266938506063
HH_Debt_mean,False,,log1p,-0.3102060813890115,46.33335459046698,-0.14572123257950326,0.16262409813478376,-0.13991649850446164,43.21758143890352,-0.01788277188966596,0.20612018266140353
HH_Deposit_mean,False,,log1p,0.6587167018869,0.28493549046187605,0.6067816109373962,0.11107822026346142,0.6601061314991432,0.28435488546820215,0.7027338047057172,0.0418729981925565
Firm_Debt_mean,False,,log1p,-0.020004965918952955,5.66300274465279,-0.036909218026209854,0.036580937765366334,0.08333527236315874,5.368474434398845,-0.027151245689748492,0.09939875542181505
