component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,495,0,0.0,0.012121212121212121,0.006060606060606061,4,4
CU,0.2,495,0,0.0,0.012121212121212121,0.006060606060606061,4,4
CU,0.3,495,6,0.012121212121212121,0.012121212121212121,0.006060606060606061,4,4
CU,0.4,495,6,0.012121212121212121,0.012121212121212121,0.006060606060606061,4,4
EV,0.1,495,0,0.0,0.05454545454545454,0.02121212121212121,3,3
EV,0.2,495,6,0.012121212121212121,0.05454545454545454,0.02121212121212121,3,3
EV,0.3,495,9,0.01818181818181818,0.05454545454545454,0.02121212121212121,3,3
EV,0.4,495,27,0.05454545454545454,0.05454545454545454,0.02121212121212121,3,3
MD,0.1,495,36,0.07272727272727272,0.3151515151515151,0.2,1,1
MD,0.2,495,84,0.1696969696969697,0.3151515151515151,0.2,1,1
MD,0.3,495,120,0.24242424242424243,0.3151515151515151,0.2,1,1
MD,0.4,495,156,0.3151515151515151,0.3151515151515151,0.2,1,1
OU,0.1,495,6,0.012121212121212121,0.15757575757575756,0.08333333333333333,2,2
OU,0.2,495,30,0.06060606060606061,0.15757575757575756,0.08333333333333333,2,2
OU,0.3,495,51,0.10303030303030303,0.15757575757575756,0.08333333333333333,2,2
OU,0.4,495,78,0.15757575757575756,0.15757575757575756,0.08333333333333333,2,2
