metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.22906094190589898,6.652048956852935,0.32608553659526374,0.2937478506608168,0.2016653067057489,6.769208853638878,0.31937691807814095,0.3274222843400428
UnemploymentRate_mean,False,,identity,0.22906094190884918,0.06652048956840208,0.326085536595886,0.2937478506616203,0.18159545025539447,0.06853768480312801,0.3217800675321163,0.32645951221136205
Output_mean,False,,identity,0.6038889551143175,10.452622786873752,0.6818808434851283,0.13165951139705326,0.7349253805421722,8.550684359157787,0.7401037672182301,0.11081481341408263
Consumption_mean,False,,identity,0.4398301951859782,10.129954195774348,0.581496193380523,0.147241188400645,0.5576507710621218,9.001818898018982,0.6186888231256736,0.13646269790925625
Transfers_mean,False,,identity,0.467104691438574,0.9038771690643208,0.5989641635585918,0.14496081366416028,0.6145347746760961,0.7687428163760944,0.6393760917159426,0.13151357998502877
AvgPrice_mean,False,,identity,0.8534794477280387,0.05259540175599283,0.9596306544418448,0.031186516115327575,0.9782621975102764,0.020258455072026393,0.9791498222295715,0.004710770936698521
AvgMarkup_mean,False,,identity,0.12706879192268294,0.015100611618211548,0.2824873243085333,0.19796030473216691,0.10214879167899793,0.015314637218485277,0.2713778997760944,0.2499551538660983
PriceDispersion_mean,False,,identity,0.30544189106287045,0.028870075970230502,0.5320995087269835,0.20425642447092823,0.44915571460310055,0.025710354085871186,0.575648012525072,0.18560687362768175
InventoryGap_mean,False,,identity,0.14061768403165764,0.23999881031489603,0.29007258923898255,0.3130692317649772,0.09626879464735982,0.2461135482817438,0.0025910538078896205,0.7301264478152587
SalesForecastError_mean,False,,identity,0.18054046540938862,0.03310486688564826,0.38879615343981005,0.24876427183180974,0.21723125920632003,0.03235525497686916,0.428237259474791,0.25500803672172034
InventoryTurnover_mean,False,,identity,0.6768019248219308,0.0513846661774256,0.7415979133859427,0.05259007924973479,0.7001916195485276,0.04949040875996837,0.7691765839201401,0.07253056881219097
CreditRequests_mean,False,,identity,0.32898596250582157,5.144550909485593,0.3935548119958524,0.0723311865420132,0.3249827744205568,5.159873971905775,0.41277898193457235,0.0834717320303933
CreditRejections_mean,False,,identity,-0.0006534889192701954,14.218293989005213,0.07872340545776446,0.06694479348654901,-0.27651918307751133,16.059029860763182,-0.07819768118782133,0.17303096238627166
CreditRejectionRate_mean,False,,identity,0.020541256651978923,0.1415879577170308,0.052632501136222,0.042568165108199094,-0.2287583531702102,0.15858659896938979,-0.11103860035794462,0.1691669467196355
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,True,low_variance,,,,,,,,,
UnemploymentTransfers_mean,False,,identity,0.21285664870196264,0.3418137952179824,0.20037853533479036,0.048719354858038764,0.2203375249400653,0.3401856475504771,0.15490801211320468,0.05824172773667741
HH_Debt_mean,False,,log1p,-0.1414282975501573,41.09736583642486,-0.1544477871968783,0.1091798510521547,-0.0821594488961579,40.01614948485246,-0.052014763452589506,0.07045564270301174
HH_Deposit_mean,False,,log1p,0.8098551529159836,0.29775420682968123,0.8264533701236514,0.012653528077700182,0.8301013744502463,0.2814560306948262,0.8451950433824902,0.02035076753811321
Firm_Debt_mean,False,,log1p,-0.03502260363858589,10.192778553386702,-0.05388703047161214,0.026312972389234624,-0.007599826756563788,10.056844007427589,-0.06906925053882902,0.10462051919158354
Bank_Equity_mean,False,,log1p,-0.04864400384926015,4.32274403692589,-0.033021877896378046,0.031069919682775803,-0.1762170199385369,4.578141494834142,-0.1910806232499879,0.12331502505184605
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.684604943307187,0.043549275804381636,0.6652794396144379,0.043105607353971974,0.7494936883291846,0.03881171490944565,0.7176742827190751,0.03108011245826041
BankResolutionAmount_mean,False,,identity,0.5558275163629951,0.5896816494492456,0.5496161100567322,0.029856752758059,0.6139121813916253,0.549774810379897,0.6030699632808405,0.03461243769999431
BankResolutionHaircut_mean,False,,identity,0.595020234346249,0.010877245874834348,0.7017179101535327,0.0901275355753317,0.5515847856860266,0.011445702488701769,0.6754361231114657,0.13973613222594344
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,False,,identity,0.770240472700635,0.1479103772306274,0.7481388577506112,0.06266387819975473,0.7331331768650422,0.15940765498438147,0.765030564409787,0.06033487347218933
Defaults_mean,False,,identity,0.5464279231135476,0.17808688404477152,0.5557720753050734,0.04065744257361169,0.6020099719343582,0.1668187548798228,0.6043978772223888,0.056926822423705815
DefaultsHH_mean,False,,identity,0.5468840850652885,0.1780983960552049,0.5559576908752686,0.04044254415706712,0.6029258079481687,0.1667213355166077,0.6047443690612415,0.05649708674732005
DefaultsFirm_mean,True,low_variance,,,,,,,,,
BalanceOK_mean,True,low_variance,,,,,,,,,
DefaultsHH_rate,False,,identity,0.8114714618185469,0.0010816521985369978,0.7817948177136123,0.0443896412055193,0.7971249376692859,0.00112205312711701,0.8301875350093845,0.041085389299474875
DefaultsFirm_rate,False,,identity,0.46213762515785695,0.000963875739318392,0.5108999366764508,0.06693175783556156,0.568683649114005,0.0008631443415866084,0.5671057879968469,0.08866531808028762
BalanceOK_share,True,low_variance,,,,,,,,,
BankFailed_share,True,low_variance,,,,,,,,,
BankResolved_share,False,,identity,0.673660022010441,0.02900631932167217,0.7154099850723239,0.03945907148019238,0.7172590470893327,0.026999258836732504,0.7491270358787545,0.027832979152837
BankBailedOut_share,False,,identity,0.5566953873283053,0.008016588737936831,0.6534990708932756,0.07001414931876844,0.5731025296405001,0.007866839138958623,0.6504569522192989,0.1066255250081252
