component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,357,75,0.21008403361344538,0.6050420168067226,0.4117647058823529,2,2
CU,0.2,357,120,0.33613445378151263,0.6050420168067226,0.4117647058823529,2,2
CU,0.3,357,177,0.4957983193277311,0.6050420168067226,0.4117647058823529,2,2
CU,0.4,357,216,0.6050420168067226,0.6050420168067226,0.4117647058823529,2,2
EV,0.1,357,42,0.11764705882352941,0.4117647058823529,0.2689075630252101,3,3
EV,0.2,357,84,0.23529411764705882,0.4117647058823529,0.2689075630252101,3,3
EV,0.3,357,111,0.31092436974789917,0.4117647058823529,0.2689075630252101,3,3
EV,0.4,357,147,0.4117647058823529,0.4117647058823529,0.2689075630252101,3,3
MD,0.1,357,75,0.21008403361344538,0.6302521008403361,0.4369747899159664,1,1
MD,0.2,357,135,0.37815126050420167,0.6302521008403361,0.4369747899159664,1,1
MD,0.3,357,189,0.5294117647058824,0.6302521008403361,0.4369747899159664,1,1
MD,0.4,357,225,0.6302521008403361,0.6302521008403361,0.4369747899159664,1,1
OU,0.1,357,39,0.1092436974789916,0.3445378151260504,0.2415966386554622,4,4
OU,0.2,357,72,0.20168067226890757,0.3445378151260504,0.2415966386554622,4,4
OU,0.3,357,111,0.31092436974789917,0.3445378151260504,0.2415966386554622,4,4
OU,0.4,357,123,0.3445378151260504,0.3445378151260504,0.2415966386554622,4,4
