component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,252,6,0.023809523809523808,0.03571428571428571,0.026785714285714284,4,4
CU,0.2,252,6,0.023809523809523808,0.03571428571428571,0.026785714285714284,4,4
CU,0.3,252,6,0.023809523809523808,0.03571428571428571,0.026785714285714284,4,4
CU,0.4,252,9,0.03571428571428571,0.03571428571428571,0.026785714285714284,4,4
EV,0.1,252,6,0.023809523809523808,0.07142857142857142,0.03571428571428571,3,3
EV,0.2,252,6,0.023809523809523808,0.07142857142857142,0.03571428571428571,3,3
EV,0.3,252,6,0.023809523809523808,0.07142857142857142,0.03571428571428571,3,3
EV,0.4,252,18,0.07142857142857142,0.07142857142857142,0.03571428571428571,3,3
MD,0.1,252,6,0.023809523809523808,0.2619047619047619,0.13392857142857142,1,1
MD,0.2,252,21,0.08333333333333333,0.2619047619047619,0.13392857142857142,1,1
MD,0.3,252,42,0.16666666666666666,0.2619047619047619,0.13392857142857142,1,1
MD,0.4,252,66,0.2619047619047619,0.2619047619047619,0.13392857142857142,1,1
OU,0.1,252,6,0.023809523809523808,0.2261904761904762,0.11011904761904762,2,2
OU,0.2,252,9,0.03571428571428571,0.2261904761904762,0.11011904761904762,2,2
OU,0.3,252,39,0.15476190476190477,0.2261904761904762,0.11011904761904762,2,2
OU,0.4,252,57,0.2261904761904762,0.2261904761904762,0.11011904761904762,2,2
