metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,5.58624,5.58624,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,11.17248,11.17248,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,11.17248,11.17248,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.0651728,0.0651728,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0025392000000000006,0.0025392000000000006,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.008464000000000001,0.008464000000000001,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.04232000000000001,0.04232000000000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.016928000000000002,0.016928000000000002,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.025392,0.025392,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.19636480000000003,0.19636480000000003,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,1.963648,1.963648,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,0.981824,0.981824,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,6.551136000000001,6.551136000000001,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.101568,0.101568,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.29624,0.29624,0.0,fixed_baseline,0,,,
CreditRejections_mean,80.0,10.0,16.928000000000004,16.928000000000004,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.059248000000000016,0.059248000000000016,0.0,fixed_baseline,0,,,
