metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,5.1393408,,0.9,25.0,26.41282385854464,33.8553333333334,seed_replicates,120,True,
Output_mean,80.0,10.0,10.2786816,,0.9,100.0,105.65129543417856,55.19725503743128,seed_replicates,120,True,
Consumption_mean,80.0,10.0,10.2786816,,0.9,100.0,105.65129543417856,45.72472338765618,seed_replicates,120,True,
AvgPrice_mean,1.05,0.05,0.059958976000000004,,0.9,0.0025000000000000005,0.0035950788029685764,0.0004473328550097473,seed_replicates,120,True,
DefaultsHH_rate,0.004,0.002,0.0023360640000000005,,0.9,4e-06,5.457195012096003e-06,3.0377314814814322e-06,seed_replicates,120,True,
BankFailed_share,0.0,0.01,0.007786880000000001,,0.9,0.0001,6.063550013440002e-05,0.0,seed_replicates,120,True,
BankResolved_share,0.05,0.03,0.03893440000000001,,0.9,0.0009,0.0015158875033600006,0.0013194444444444462,seed_replicates,120,True,
BankResolutionHaircut_mean,0.02,0.01,0.015573760000000002,,0.9,0.0001,0.00024254200053760007,0.00015865917102536888,seed_replicates,120,True,
BankBailedOut_share,0.02,0.02,0.023360640000000002,,0.9,0.0004,0.0005457195012096,9.953703703703696e-05,seed_replicates,120,True,
BankBailoutAmount_mean,0.2,0.2,0.18065561600000005,,0.9,0.04000000000000001,0.03263645159233947,0.05946141531884878,seed_replicates,120,True,
Transfers_mean,6.5,2.0,1.8065561600000002,,0.9,4.0,3.2636451592339464,0.39740672186058085,seed_replicates,120,True,
HH_Deposit_mean,1.5,1.0,0.9032780800000001,,0.9,1.0,0.8159112898084866,0.15627862164977277,seed_replicates,120,True,
Bank_Equity_mean,10.0,7.5,6.027045120000001,,0.9,56.25,36.32527287851583,15.968763397411132,seed_replicates,120,True,
PriceDispersion_mean,0.1,0.06,0.09344256000000001,,0.9,0.0036,0.0087315120193536,0.0004093388199270116,seed_replicates,120,False,
InventoryGap_mean,0.0,0.25,0.2725408,,0.9,0.0625,0.07427848766464001,0.025168627560748162,seed_replicates,120,False,
CreditRejections_mean,80.0,10.0,15.573760000000005,,0.9,100.0,242.54200053760016,603.4483333333336,seed_replicates,120,False,
FirmDowntimeShare_mean,0.05,0.04,0.054508160000000014,,0.9,0.0016,0.0029711395065856014,0.0,seed_replicates,120,False,
