param,initial_low,initial_high,nroy_min,nroy_max,nroy_p05,nroy_p95,shrink_pct
alpha_mean,0.57,0.92,0.6348524087845324,0.8809255558935882,0.6448659114930841,0.8679694276972354,29.693386540269785
alpha_std,0.03,0.13,0.040104410191333,0.1144958045419125,0.0429881925375747,0.1117261991274634,25.60860564942051
wage,0.9,1.45,0.9716662096919416,1.2213975932812264,0.9792614995717516,1.1991576553328327,54.5942938928573
productivity,0.95,1.95,1.0470455565246122,1.3972363322639776,1.0672644589673117,1.3569323386760064,64.98092242606346
loan_rate,0.012,0.073,0.0196778824493517,0.0644024112694777,0.0214177044755542,0.0604501267165693,26.681100294875414
deposit_rate,0.001,0.028,0.0045213822425614,0.0237439538284726,0.0054366484743297,0.0228271541854384,28.8052904225511
bank_credit_multiplier,4.2,14.0,5.45813408034468,12.442047108495268,5.754017660395268,12.116333088358552,28.73558134540216
hh_debt_cap_multiplier,2.1,4.8,2.317774749683546,4.486121714140067,2.3932074733668074,4.415379745029955,19.690853168276988
firm_debt_cap_multiplier,1.6,4.8,1.9810021571055176,4.434509625137288,2.088494297956472,4.318015715233543,23.32789162400717
adaptation_rate,0.25,0.95,0.3204710170767227,0.8130877962145295,0.344942735173286,0.7962293764267563,29.62617440888473
price_elasticity,0.95,2.9,1.1635754247455918,2.5462482867290466,1.2265033049391014,2.443912675777155,29.093699385463857
skill_wage_weight,0.03,0.49,0.0683215543074416,0.4029755592708996,0.0801614794024346,0.3888414213147774,27.249129355769995
demand_smoothing,0.06,0.35,0.0961492220704198,0.3201396667014558,0.1040552893832075,0.3072288140053928,22.76191564447033
price_adjust_speed,0.08,0.45,0.1227820475505452,0.4076815905370447,0.1343529754706301,0.3949780329461854,23.000123517162287
price_stickiness,0.45,0.9,0.5077306064510965,0.8371010491585268,0.5305181314175701,0.8175134719520717,26.80656828723771
max_price_step,0.04,0.22,0.0734609872540379,0.2029336210918459,0.0770433356316786,0.1945671802464045,28.070758978995556
inventory_target_days,0.8,2.8,1.0116867302056411,2.492914878576668,1.0954472120980427,2.4515789014706435,25.93859258144864
demand_expectation_memory,0.15,0.65,0.2137674904423585,0.5991432324020218,0.2290192010120606,0.562266327415025,22.924851608067332
max_hire_per_step,3.0,12.0,3.802248326141225,11.11805054505729,4.147088881018585,10.90889367611974,18.713308678710384
max_fire_per_step,3.0,12.0,3.8525725407515408,11.129148180380152,4.199811788032054,10.819897013294431,19.149159559682094
hh_max_dsr,0.2,0.65,0.2411106239153623,0.5865961436239796,0.2550176323235855,0.558637726390056,23.225440064751712
firm_max_dsr,0.6,2.2,0.8617687874118483,1.9660273494289648,0.8984806266881123,1.9296673214657871,30.98383987393022
firm_reentry_lag,0.0,4.0,0.4299100097596104,3.692657299512218,0.575909489779622,3.5865715535385383,18.431317756184807
firm_reentry_cash_fraction,0.2,0.85,0.2942317703560174,0.7505558305689675,0.3099310026069395,0.7254926444632772,29.7962984287769
consumption_memory,0.15,0.75,0.2347571673947871,0.625033285216897,0.2454051964810658,0.6083477589870684,34.953980362981675
precautionary_saving,0.03,0.35,0.0917247861732494,0.3143723036349578,0.104483083648405,0.3049095540736212,30.422650793216132
consumption_floor_prop,0.0,0.35,0.0364089317393288,0.3134760925954328,0.044636272472627,0.2938408190596469,20.83795404111314
consumption_ceiling_prop,1.0,2.8,1.0971293831023743,2.376922245416352,1.1652700115841907,2.326966099477453,28.90039653811234
unemployed_consumption_penalty,0.05,0.45,0.0840394115329249,0.4129596094806739,0.0989123381980655,0.3956051625893946,17.76995051306275
unemployment_transfer,0.0,0.25,0.0556530170764495,0.2296335903925974,0.0628734424066327,0.224287921616904,30.407770673540835
