metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,5.831759999999999,5.831759999999999,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,11.663519999999998,11.663519999999998,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,11.663519999999998,11.663519999999998,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.06803719999999999,0.06803719999999999,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0026508,0.0026508,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.008836,0.008836,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.04418,0.04418,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.017672,0.017672,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.026507999999999993,0.026507999999999993,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.2049952,0.2049952,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.0499519999999993,2.0499519999999993,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.0249759999999997,1.0249759999999997,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,6.839064,6.839064,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.10603199999999997,0.10603199999999997,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.3092599999999999,0.3092599999999999,0.0,fixed_baseline,0,,,
CreditRejections_mean,80.0,10.0,17.671999999999997,17.671999999999997,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.061852,0.061852,0.0,fixed_baseline,0,,,
