metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.006341769249057827,3.303026650518759,0.028767138403978397,0.033687422564524665,-0.3903129279456843,3.907057846066136,-0.21576782147086382,0.2750340626020773
UnemploymentRate_mean,False,,identity,0.006341769249057383,0.033030266505187596,0.02876713827738473,0.033687422596074136,-0.38969438545564183,0.03906188635224429,-0.21636188314166405,0.2731863403086509
Output_mean,False,,identity,0.5132372179223024,5.162909144203079,0.5282375969027134,0.09231493495588461,0.5598827978979517,4.909304520293059,0.5729067104606747,0.09775710183953268
Consumption_mean,False,,identity,0.670538204276862,4.266839965533441,0.5338244894544962,0.09795082275284893,0.5557367542899676,4.954775896906993,0.5137683490285321,0.11429417550058181
Transfers_mean,False,,identity,0.7182329914888009,0.34683032492146587,0.5444967742170587,0.08491666092017922,0.5909259133577964,0.41790058287790455,0.5457835882099646,0.12038542183205801
AvgPrice_mean,False,,identity,0.937535975933371,0.02163201067336084,0.9423496053833725,0.025647572926062043,0.9673434183924763,0.015641099188550545,0.969028810511675,0.003352883998118929
AvgMarkup_mean,False,,identity,0.04867199106732112,0.012276103999014533,0.04727630812426822,0.02452336198513035,-0.14293982932181426,0.013455724945496001,-0.13010542231112415,0.040004244009493005
PriceDispersion_mean,False,,identity,0.5458324479598945,0.015679621093243192,0.4923214883765004,0.0683541143925369,0.6304046549017974,0.014144602868811551,0.5008316909318393,0.08525418982201848
InventoryGap_mean,False,,identity,0.02611995869001138,0.07558728778449822,0.01124777885724726,0.013426113028871355,-0.11279193735340742,0.08079844724377425,-0.23334944351154271,0.052400905757721765
SalesForecastError_mean,False,,identity,0.3414475369564193,0.02342305603568093,0.39636589870478856,0.05776794417809676,0.32412785021219914,0.023729065970890764,0.41375183693143053,0.06271501276606826
InventoryTurnover_mean,False,,identity,0.8845985543773311,0.03589668777998501,0.8545313000082144,0.02724496057586303,0.8867493416572587,0.03556060333144704,0.8467204222863167,0.02213757987403822
CreditRequests_mean,False,,identity,0.3616404592278436,4.632433158545641,0.46779839800592493,0.07039352337967664,0.42022296838069784,4.414758871781071,0.5015334557151063,0.05944433772483576
CreditRejections_mean,False,,identity,0.09334667862721724,13.442843774977694,0.06780651604972024,0.02728312035236598,-0.030422912632616983,14.33105875991751,-0.07972692170999066,0.0909223966928619
CreditRejectionRate_mean,False,,identity,0.10189818736314715,0.13680288940552374,0.08339203070603174,0.05354955062978961,0.02085405567134735,0.1428420908068036,-0.061307759482384226,0.1390378336721814
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,True,low_variance,,,,,,,,,
UnemploymentTransfers_mean,False,,identity,0.13273800413692693,0.4144351588605499,0.13673838731797955,0.04853715631649793,0.060793961849100464,0.4312825355653449,0.06957241944341466,0.10104981853385678
HH_Debt_mean,False,,log1p,-0.14689782528586126,36.37814731561187,-0.11324632433057383,0.05881654290001845,-0.1348850035492517,36.18713006131396,-0.03983534108206051,0.1702850539253735
HH_Deposit_mean,False,,log1p,0.7821075703145501,0.30010423329232544,0.7757907607312962,0.03340800957074255,0.8029439666636877,0.2853947100786689,0.8219038018481987,0.029722950659724676
Firm_Debt_mean,False,,log1p,-0.021447895677124684,4.471254187452034,-0.0002789080574601366,0.01512431387823196,-0.0919061528019951,4.622893701997396,0.07612322838325654,0.15046203306576458
Bank_Equity_mean,False,,log1p,-0.03165403090490693,2.9482809754674837,-0.014692402837449704,0.04244501107272389,-0.19443958267710926,3.1723706548388657,-0.17617004172116907,0.07650315299369936
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.5547314534362602,0.03805396705903865,0.6985314925456811,0.0206211934785382,0.6119489843356156,0.035524939022697245,0.6521044479129312,0.03780055654221054
BankResolutionAmount_mean,False,,identity,0.4161118859834513,0.5414314469504895,0.6049323749609827,0.04819712026617864,0.463076334848865,0.5192002970286312,0.5574802931306692,0.03532172729684525
BankResolutionHaircut_mean,False,,identity,0.7418914350881014,0.006609895226136606,0.760274363832306,0.03190424628472218,0.7571779083089675,0.006411172546180147,0.7541625568039884,0.024608368678647588
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,False,,identity,0.8392973210994237,0.10167972768381033,0.8136407457439313,0.05901094775954142,0.8046681336004622,0.11210096885317627,0.803945239748043,0.053790494774543306
Defaults_mean,False,,identity,0.36362979921728666,0.16412752362858687,0.49538584868713287,0.05181749398871869,0.39167279712350334,0.160470467629418,0.5197992956050014,0.017681303528128738
DefaultsHH_mean,False,,identity,0.5709265906942749,0.13483614961226167,0.46123416529215905,0.02724670890913144,0.39088275559434227,0.16065379503983648,0.5193168349122547,0.018085670425259836
DefaultsFirm_mean,True,low_variance,,,,,,,,,
BalanceOK_mean,True,low_variance,,,,,,,,,
DefaultsHH_rate,False,,identity,0.8774013206530153,0.0007457974635597219,0.8740921206467241,0.011123014324860604,0.875790377010063,0.0007506813525733053,0.871357445680809,0.0163709222339303
DefaultsFirm_rate,False,,identity,0.4477441957119007,0.0005228697528313631,0.463355841931241,0.03365148267995139,0.4449236236446118,0.0005242032956629749,0.4876255437763507,0.05216350050048124
BalanceOK_share,True,low_variance,,,,,,,,,
BankFailed_share,True,low_variance,,,,,,,,,
BankResolved_share,False,,identity,0.7641420212266092,0.020835307173453027,0.7680901501390085,0.015340768673137746,0.7293968584743855,0.02231726849965187,0.7551816553834211,0.013440969531537403
BankBailedOut_share,False,,identity,0.6678301288387256,0.004937271573885184,0.663460920375837,0.07435111902617413,0.6394774886469844,0.00514366991703707,0.6502850698145677,0.0825160410283517
