component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,1023,3,0.002932551319648094,0.02932551319648094,0.018328445747800588,4,4
CU,0.2,1023,15,0.01466275659824047,0.02932551319648094,0.018328445747800588,4,4
CU,0.3,1023,27,0.026392961876832845,0.02932551319648094,0.018328445747800588,4,4
CU,0.4,1023,30,0.02932551319648094,0.02932551319648094,0.018328445747800588,4,4
EV,0.1,1023,6,0.005865102639296188,0.03519061583577713,0.021260997067448682,3,3
EV,0.2,1023,18,0.017595307917888565,0.03519061583577713,0.021260997067448682,3,3
EV,0.3,1023,27,0.026392961876832845,0.03519061583577713,0.021260997067448682,3,3
EV,0.4,1023,36,0.03519061583577713,0.03519061583577713,0.021260997067448682,3,3
MD,0.1,1023,30,0.02932551319648094,0.21700879765395895,0.11583577712609971,1,1
MD,0.2,1023,75,0.07331378299120235,0.21700879765395895,0.11583577712609971,1,1
MD,0.3,1023,147,0.1436950146627566,0.21700879765395895,0.11583577712609971,1,1
MD,0.4,1023,222,0.21700879765395895,0.21700879765395895,0.11583577712609971,1,1
OU,0.1,1023,27,0.026392961876832845,0.18181818181818182,0.09017595307917889,2,2
OU,0.2,1023,60,0.05865102639296188,0.18181818181818182,0.09017595307917889,2,2
OU,0.3,1023,96,0.093841642228739,0.18181818181818182,0.09017595307917889,2,2
OU,0.4,1023,186,0.18181818181818182,0.18181818181818182,0.09017595307917889,2,2
