component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,250,6,0.024,0.108,0.072,3,3
CU,0.2,250,15,0.06,0.108,0.072,3,3
CU,0.3,250,24,0.096,0.108,0.072,3,3
CU,0.4,250,27,0.108,0.108,0.072,3,3
EV,0.1,250,3,0.012,0.072,0.039,4,4
EV,0.2,250,6,0.024,0.072,0.039,4,4
EV,0.3,250,12,0.048,0.072,0.039,4,4
EV,0.4,250,18,0.072,0.072,0.039,4,4
MD,0.1,250,9,0.036,0.216,0.135,1,1
MD,0.2,250,30,0.12,0.216,0.135,1,1
MD,0.3,250,42,0.168,0.216,0.135,1,1
MD,0.4,250,54,0.216,0.216,0.135,1,1
OU,0.1,250,9,0.036,0.12,0.075,2,2
OU,0.2,250,12,0.048,0.12,0.075,2,2
OU,0.3,250,24,0.096,0.12,0.075,2,2
OU,0.4,250,30,0.12,0.12,0.075,2,2
