component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,138,3,0.021739130434782608,0.043478260869565216,0.02717391304347826,4,4
CU,0.2,138,3,0.021739130434782608,0.043478260869565216,0.02717391304347826,4,4
CU,0.3,138,3,0.021739130434782608,0.043478260869565216,0.02717391304347826,4,4
CU,0.4,138,6,0.043478260869565216,0.043478260869565216,0.02717391304347826,4,4
EV,0.1,138,3,0.021739130434782608,0.06521739130434782,0.048913043478260865,3,3
EV,0.2,138,6,0.043478260869565216,0.06521739130434782,0.048913043478260865,3,3
EV,0.3,138,9,0.06521739130434782,0.06521739130434782,0.048913043478260865,3,3
EV,0.4,138,9,0.06521739130434782,0.06521739130434782,0.048913043478260865,3,3
MD,0.1,138,9,0.06521739130434782,0.32608695652173914,0.20108695652173914,1,1
MD,0.2,138,24,0.17391304347826086,0.32608695652173914,0.20108695652173914,1,1
MD,0.3,138,33,0.2391304347826087,0.32608695652173914,0.20108695652173914,1,1
MD,0.4,138,45,0.32608695652173914,0.32608695652173914,0.20108695652173914,1,1
OU,0.1,138,6,0.043478260869565216,0.17391304347826086,0.10326086956521739,2,2
OU,0.2,138,9,0.06521739130434782,0.17391304347826086,0.10326086956521739,2,2
OU,0.3,138,18,0.13043478260869565,0.17391304347826086,0.10326086956521739,2,2
OU,0.4,138,24,0.17391304347826086,0.17391304347826086,0.10326086956521739,2,2
