param,initial_low,initial_high,nroy_min,nroy_max,nroy_p05,nroy_p95,shrink_pct
alpha_mean,0.57,0.92,0.5744604938005738,0.9140418630238654,0.5849185535137359,0.8989290992986304,2.976751650488163
alpha_std,0.03,0.13,0.0300605486238735,0.1271569834245243,0.0315307864470242,0.1152921290094732,2.9035651993492007
wage,0.9,1.45,0.9010604576246676,1.4398247468670309,0.9508004764845268,1.2899866235692168,2.042856501388479
productivity,0.95,1.95,0.9726383986144356,1.657600877174867,0.9840294785082468,1.536962001461005,31.503752143956866
loan_rate,0.012,0.073,0.0121505478828974,0.0707472554059957,0.0139457794842475,0.0679639368172,3.9398237326257246
deposit_rate,0.001,0.028,0.0023767943142789,0.0273368837628423,0.0033396863789613,0.0267104944387049,7.555224264579996
bank_credit_multiplier,4.2,14.0,4.293005743723682,12.762984641423213,5.9178870872020575,12.2365145738945,13.57164390102521
hh_debt_cap_multiplier,2.1,4.8,2.167658103305208,4.786345898108902,2.2016796543027874,4.655395435857757,3.0115631554187283
firm_debt_cap_multiplier,1.6,4.8,1.6829440004687868,4.745325506196345,1.7505910916380492,4.666540793429013,4.3005779460138065
adaptation_rate,0.25,0.95,0.2965051379977582,0.8571545470440031,0.3151358300760709,0.831425041131018,19.907227279107875
price_elasticity,0.95,2.9,1.0311645449392393,2.8652308701362275,1.052659540036117,2.7587202390755747,5.945316656564703
skill_wage_weight,0.03,0.49,0.0305211191888556,0.469218764860279,0.044488830838501,0.4513778970305159,4.630946593168805
demand_smoothing,0.06,0.35,0.0603619234189705,0.3364917258514763,0.0645662308529715,0.3253402836321379,4.782826747411795
price_adjust_speed,0.08,0.45,0.0805647402648545,0.3950203741630251,0.0932006210692894,0.3922667944903835,15.011990838332267
price_stickiness,0.45,0.9,0.4570935781352192,0.8985535827791737,0.4738083438485556,0.8936801823254186,1.8977767457878825
max_price_step,0.04,0.22,0.0594977085881988,0.2113596992835827,0.0664436438629769,0.210490442492009,15.632227391453391
inventory_target_days,0.8,2.8,0.8147875653135486,2.68871506375666,0.8477118265447475,2.600986219794202,6.30362507784441
demand_expectation_memory,0.15,0.65,0.1593628190092692,0.6423554315234762,0.1817760676130639,0.6339552025333444,3.4014774971586004
max_hire_per_step,3.0,12.0,3.070266199173027,10.895482436360886,3.168057962000219,10.773714878053571,13.053152920134892
max_fire_per_step,3.0,12.0,3.0430865348858704,11.94159975066423,3.1368814129719813,11.885358050973416,1.1276309357960201
hh_max_dsr,0.2,0.65,0.2060453778698773,0.6286162637917881,0.22337560030514694,0.6149716482037563,6.095358684019814
firm_max_dsr,0.6,2.2,0.8121138107895767,2.119385749370603,0.8246790395118205,2.051838603684756,18.295503838685846
firm_reentry_lag,0.0,4.0,0.0171071570589611,3.834528233557513,0.33321300602199166,3.7797297315026697,4.564473087536203
firm_reentry_cash_fraction,0.2,0.85,0.2144919809309436,0.8241590235685772,0.2232358118043759,0.7860132125343104,6.205070363440967
consumption_memory,0.15,0.75,0.2045872929032364,0.7353781140860719,0.2139340410584793,0.697026401944038,11.534863136194085
precautionary_saving,0.03,0.35,0.0523218499753252,0.3414906153346114,0.058245319764897,0.3311715772187867,9.634760825223044
consumption_floor_prop,0.0,0.35,0.024293501041021,0.3448715472446896,0.0319926941619653,0.3113207373010181,8.406272513237544
consumption_ceiling_prop,1.0,2.8,1.0128327933114123,2.5606139888758728,1.0151023537473671,2.4923412382150065,14.012155801974412
unemployed_consumption_penalty,0.05,0.45,0.0608364995318583,0.4414102267047636,0.0762285016653903,0.436597887985679,4.856568206773682
unemployment_transfer,0.0,0.25,0.0203216927470433,0.2442295893519122,0.04086384093050085,0.2417161828281972,10.43684135805244
