metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,7.69824,,0.9,25.0,59.262899097600005,29.890000000000054,seed_replicates,120,True,
Output_mean,80.0,10.0,15.39648,,0.9,100.0,237.05159639040002,48.52439955744009,seed_replicates,120,True,
Consumption_mean,80.0,10.0,15.39648,,0.9,100.0,237.05159639040002,46.11529830924525,seed_replicates,120,True,
AvgPrice_mean,1.05,0.05,0.0898128,,0.9,0.0025000000000000005,0.00806633904384,0.0006228934068874295,seed_replicates,120,True,
DefaultsHH_rate,0.004,0.002,0.0034992000000000005,,0.9,4e-06,1.2244400640000003e-05,3.3675925925927024e-06,seed_replicates,120,True,
BankFailed_share,0.0,0.01,0.011664,,0.9,0.0001,0.00013604889600000002,0.0,seed_replicates,120,True,
BankResolved_share,0.05,0.03,0.05832000000000001,,0.9,0.0009,0.003401222400000001,0.00121527777777778,seed_replicates,120,True,
BankResolutionHaircut_mean,0.02,0.01,0.023328,,0.9,0.0001,0.0005441955840000001,0.00024408999573114311,seed_replicates,120,True,
BankBailedOut_share,0.02,0.02,0.034992,,0.9,0.0004,0.0012244400640000002,0.00016203703703703714,seed_replicates,120,True,
BankBailoutAmount_mean,0.2,0.2,0.27060480000000003,,0.9,0.04000000000000001,0.07322695778304002,0.0881987241908697,seed_replicates,120,True,
Transfers_mean,6.5,2.0,2.706048,,0.9,4.0,7.322695778304,0.3363281919298818,seed_replicates,120,True,
HH_Deposit_mean,1.5,1.0,1.353024,,0.9,1.0,1.830673944576,0.2250930803056229,seed_replicates,120,True,
Bank_Equity_mean,10.0,7.5,9.027936000000002,,0.9,56.25,81.50362842009604,21.473575770128644,seed_replicates,120,True,
PriceDispersion_mean,0.1,0.06,0.139968,,0.9,0.0036,0.019591041024000003,0.0004137754155043635,seed_replicates,120,False,
InventoryGap_mean,0.0,0.25,0.40824000000000005,,0.9,0.0625,0.16665989760000005,0.04492932870176114,seed_replicates,120,False,
CreditRejections_mean,80.0,10.0,23.328000000000003,,0.9,100.0,544.1955840000002,435.96437037037043,seed_replicates,120,False,
FirmDowntimeShare_mean,0.05,0.04,0.08164800000000003,,0.9,0.0016,0.0066663959040000045,0.0,seed_replicates,120,False,
