component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,67,0,0.0,0.3582089552238806,0.2014925373134328,2,2
CU,0.2,67,12,0.1791044776119403,0.3582089552238806,0.2014925373134328,2,2
CU,0.3,67,18,0.26865671641791045,0.3582089552238806,0.2014925373134328,2,2
CU,0.4,67,24,0.3582089552238806,0.3582089552238806,0.2014925373134328,2,2
EV,0.1,67,0,0.0,0.3582089552238806,0.19029850746268656,2,3
EV,0.2,67,9,0.13432835820895522,0.3582089552238806,0.19029850746268656,2,3
EV,0.3,67,18,0.26865671641791045,0.3582089552238806,0.19029850746268656,2,3
EV,0.4,67,24,0.3582089552238806,0.3582089552238806,0.19029850746268656,2,3
MD,0.1,67,3,0.04477611940298507,0.44776119402985076,0.291044776119403,1,1
MD,0.2,67,18,0.26865671641791045,0.44776119402985076,0.291044776119403,1,1
MD,0.3,67,27,0.40298507462686567,0.44776119402985076,0.291044776119403,1,1
MD,0.4,67,30,0.44776119402985076,0.44776119402985076,0.291044776119403,1,1
OU,0.1,67,0,0.0,0.26865671641791045,0.1455223880597015,3,4
OU,0.2,67,9,0.13432835820895522,0.26865671641791045,0.1455223880597015,3,4
OU,0.3,67,12,0.1791044776119403,0.26865671641791045,0.1455223880597015,3,4
OU,0.4,67,18,0.26865671641791045,0.26865671641791045,0.1455223880597015,3,4
