component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,291,0,0.0,0.010309278350515464,0.005154639175257732,4,4
CU,0.2,291,0,0.0,0.010309278350515464,0.005154639175257732,4,4
CU,0.3,291,3,0.010309278350515464,0.010309278350515464,0.005154639175257732,4,4
CU,0.4,291,3,0.010309278350515464,0.010309278350515464,0.005154639175257732,4,4
EV,0.1,291,0,0.0,0.030927835051546393,0.01288659793814433,3,3
EV,0.2,291,3,0.010309278350515464,0.030927835051546393,0.01288659793814433,3,3
EV,0.3,291,3,0.010309278350515464,0.030927835051546393,0.01288659793814433,3,3
EV,0.4,291,9,0.030927835051546393,0.030927835051546393,0.01288659793814433,3,3
MD,0.1,291,12,0.041237113402061855,0.2268041237113402,0.12886597938144329,1,1
MD,0.2,291,30,0.10309278350515463,0.2268041237113402,0.12886597938144329,1,1
MD,0.3,291,42,0.14432989690721648,0.2268041237113402,0.12886597938144329,1,1
MD,0.4,291,66,0.2268041237113402,0.2268041237113402,0.12886597938144329,1,1
OU,0.1,291,3,0.010309278350515464,0.10309278350515463,0.059278350515463915,2,2
OU,0.2,291,12,0.041237113402061855,0.10309278350515463,0.059278350515463915,2,2
OU,0.3,291,24,0.08247422680412371,0.10309278350515463,0.059278350515463915,2,2
OU,0.4,291,30,0.10309278350515463,0.10309278350515463,0.059278350515463915,2,2
