metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.46335845030914746,6.760418183389691,0.3153407330940716,0.18353999735329007,0.48233166923541704,6.63983385232721,0.30194281819880964,0.19859978709088155
UnemploymentRate_mean,False,,identity,0.4633584503091478,0.06760418183389687,0.3153407330945031,0.18353999735261955,0.4892015636394471,0.0659562861074928,0.3005774203728755,0.19475594474041355
Output_mean,False,,identity,0.6333082165433725,9.947878895228222,0.6862237823833397,0.0851417679287346,0.7491425980891198,8.227982516736384,0.7115996785497039,0.07823795689567548
Consumption_mean,False,,identity,0.5854069176842398,9.806178955987217,0.6261705944501472,0.08812082913930909,0.6638020267472473,8.830521135814317,0.6463528565510371,0.07230284575416014
Transfers_mean,False,,identity,0.6245776780152941,0.8693410268099893,0.6515145822606675,0.06787187239999226,0.6834169470064607,0.7983143969605002,0.6765541092455493,0.04282517460166667
AvgPrice_mean,False,,identity,0.8348460623109885,0.053328803262372,0.9234610924167432,0.0634534222294693,0.9623103723624429,0.025475827224901725,0.9768600171792559,0.005380412947892409
AvgMarkup_mean,False,,identity,0.3608918062013894,0.021599745498143183,0.37084069649396073,0.1406448595478232,0.38187373439573435,0.021242226747944803,0.3676575965492918,0.14244015984383016
PriceDispersion_mean,False,,identity,0.6751428195259223,0.02090077903174044,0.6311857708285947,0.062155413674355356,0.7170806895837798,0.019505070928699953,0.6674219712084526,0.07751258756498511
InventoryGap_mean,False,,identity,0.007289576719526347,0.19300967698098673,-0.011921573448977263,0.02144465375668776,0.03984752179531559,0.1898182200025288,-0.4973088729801075,0.6859352372427778
SalesForecastError_mean,False,,identity,0.5081830566945763,0.030512196866293036,0.40938288351858976,0.09331948369210616,0.545534291372204,0.0293306909831276,0.41194845372742117,0.10028837267458182
InventoryTurnover_mean,False,,identity,0.5709490346629233,0.10144138432754124,0.6338076070337392,0.08887524521496065,0.6256521767260693,0.0947541808685934,0.6505711553311848,0.09030063073114362
CreditRequests_mean,False,,identity,0.2905477290852533,5.756813250846039,0.3158919864926665,0.10158546465917474,0.3201364056388015,5.635486875808275,0.3396526917707,0.12765729392682615
CreditRejections_mean,False,,identity,0.06441848581141729,17.95024515022888,0.02861394485658959,0.11923748590802678,0.008692790381497173,18.477095372581786,-0.05112233836440605,0.18370184649814464
CreditRejectionRate_mean,False,,identity,0.03227958128495945,0.1886029020477196,0.031859760365995894,0.12334441725259053,-0.07759464401822713,0.1990220203914307,-0.06697113680338448,0.17963199970288882
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,False,,identity,0.0,0.0018142793764470027,-0.003722216965196301,0.006991092366054205,0.0,0.011862816035057606,-0.04344547062598951,0.075568976998896
UnemploymentTransfers_mean,False,,identity,0.15461746753178784,0.5599317676496155,0.17704023950255252,0.05825757296214785,-0.049081272870016734,0.623753563919689,0.10050396958717636,0.15780619545907232
HH_Debt_mean,False,,log1p,-0.08091236811489155,39.28243205169656,0.10827985028206906,0.13201140381985368,-0.08488980550836511,39.35463954520876,0.16794848425610337,0.15350399897461522
HH_Deposit_mean,False,,log1p,0.6719411162003243,0.7571434742622198,0.7572139709760652,0.06930506179833226,0.754206036559145,0.6553720086343806,0.7981406019389763,0.030689263383664702
Firm_Debt_mean,False,,log1p,-0.055503924541560945,9.12835640798362,-0.03394849496029837,0.06352166448471296,-0.6440494717053582,11.392527959538677,-0.5131863916130951,0.8554645440516992
Bank_Equity_mean,False,,log1p,-0.19726959142442313,3.486499873957999,-0.042219930838537215,0.09594212960245395,-1.3614808403844711,4.896501488292512,-0.4392243066727465,0.5498306351471299
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.224413233620809,0.06407806241499756,0.28962287672436343,0.10401189266923247,0.13760171815129973,0.0675690973589513,0.3116306322637198,0.15553520915433358
BankResolutionAmount_mean,False,,identity,0.17010684544641763,0.8104242771711578,0.2393500872535923,0.08171731466501743,0.06256101970442407,0.8613365080152496,0.2465361028960999,0.101177765653271
BankResolutionHaircut_mean,False,,identity,0.697417133688528,0.012401399994919302,0.7470069716831279,0.06814825112145302,0.6874925559174929,0.01260313918942025,0.7392078888814215,0.057040245819962455
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,False,,identity,0.697704248258996,0.3154872967908006,0.8108324242640432,0.07671956391965201,0.7950159038822924,0.2597920988285388,0.8025132656181668,0.0747389543540514
Defaults_mean,False,,identity,0.060872800759167456,0.235098055730645,0.04369160804664769,0.04352426081945899,-0.28803628832873795,0.2753283153374146,-0.1762159858794205,0.28274215578313877
DefaultsHH_mean,False,,identity,0.07139565397774972,0.23377721686655564,0.05342018393765276,0.05021421988690093,-0.2241397947258843,0.2684122522481083,-0.13712180577115513,0.2545829084179559
DefaultsFirm_mean,True,low_variance,,,,,,,,,
BalanceOK_mean,True,low_variance,,,,,,,,,
DefaultsHH_rate,False,,identity,0.7082584035723545,0.0015492551096597622,0.8098346333055192,0.061908409213288294,0.8160353479938235,0.001230243137832705,0.8315897440638598,0.05822253141281696
DefaultsFirm_rate,False,,identity,0.6395720815731065,0.0010283825679700382,0.5633299607331747,0.0798244281424239,0.6975339645571004,0.0009420713610263014,0.6134237269151662,0.09427425686745855
BalanceOK_share,True,low_variance,,,,,,,,,
BankFailed_share,True,low_variance,,,,,,,,,
BankResolved_share,False,,identity,0.5695711974729032,0.0366071731918145,0.6427768818067298,0.08845327569186012,0.6456952920762902,0.033212685503863144,0.6713304271917379,0.07710541603911998
BankBailedOut_share,False,,identity,0.651584298281378,0.008835764769476787,0.6056245061476183,0.09000728405974558,0.6726803052801769,0.008564092604043188,0.620316171872289,0.07355207987229187
