metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,7.26,7.26,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,14.52,14.52,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,14.52,14.52,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.08470000000000001,0.08470000000000001,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0033000000000000004,0.0033000000000000004,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.011000000000000001,0.011000000000000001,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.05500000000000001,0.05500000000000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.022000000000000002,0.022000000000000002,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.033,0.033,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.25520000000000004,0.25520000000000004,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.552,2.552,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.276,1.276,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,8.514000000000001,8.514000000000001,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.132,0.132,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.385,0.385,0.0,fixed_baseline,0,,,
CreditRejections_mean,80.0,10.0,22.0,22.0,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.07700000000000001,0.07700000000000001,0.0,fixed_baseline,0,,,
