component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,231,0,0.0,0.06493506493506493,0.04220779220779221,4,4
CU,0.2,231,12,0.05194805194805195,0.06493506493506493,0.04220779220779221,4,4
CU,0.3,231,12,0.05194805194805195,0.06493506493506493,0.04220779220779221,4,4
CU,0.4,231,15,0.06493506493506493,0.06493506493506493,0.04220779220779221,4,4
EV,0.1,231,3,0.012987012987012988,0.1038961038961039,0.06168831168831169,3,3
EV,0.2,231,15,0.06493506493506493,0.1038961038961039,0.06168831168831169,3,3
EV,0.3,231,15,0.06493506493506493,0.1038961038961039,0.06168831168831169,3,3
EV,0.4,231,24,0.1038961038961039,0.1038961038961039,0.06168831168831169,3,3
MD,0.1,231,18,0.07792207792207792,0.37662337662337664,0.2305194805194805,1,1
MD,0.2,231,42,0.18181818181818182,0.37662337662337664,0.2305194805194805,1,1
MD,0.3,231,66,0.2857142857142857,0.37662337662337664,0.2305194805194805,1,1
MD,0.4,231,87,0.37662337662337664,0.37662337662337664,0.2305194805194805,1,1
OU,0.1,231,12,0.05194805194805195,0.22077922077922077,0.1331168831168831,2,2
OU,0.2,231,24,0.1038961038961039,0.22077922077922077,0.1331168831168831,2,2
OU,0.3,231,36,0.15584415584415584,0.22077922077922077,0.1331168831168831,2,2
OU,0.4,231,51,0.22077922077922077,0.22077922077922077,0.1331168831168831,2,2
