component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,144,6,0.041666666666666664,0.1875,0.125,2,3
CU,0.2,144,18,0.125,0.1875,0.125,2,3
CU,0.3,144,21,0.14583333333333334,0.1875,0.125,2,3
CU,0.4,144,27,0.1875,0.1875,0.125,2,3
EV,0.1,144,6,0.041666666666666664,0.1875,0.13541666666666666,2,2
EV,0.2,144,21,0.14583333333333334,0.1875,0.13541666666666666,2,2
EV,0.3,144,24,0.16666666666666666,0.1875,0.13541666666666666,2,2
EV,0.4,144,27,0.1875,0.1875,0.13541666666666666,2,2
MD,0.1,144,15,0.10416666666666667,0.6041666666666666,0.30208333333333337,1,1
MD,0.2,144,30,0.20833333333333334,0.6041666666666666,0.30208333333333337,1,1
MD,0.3,144,42,0.2916666666666667,0.6041666666666666,0.30208333333333337,1,1
MD,0.4,144,87,0.6041666666666666,0.6041666666666666,0.30208333333333337,1,1
OU,0.1,144,3,0.020833333333333332,0.1875,0.11458333333333334,2,4
OU,0.2,144,15,0.10416666666666667,0.1875,0.11458333333333334,2,4
OU,0.3,144,21,0.14583333333333334,0.1875,0.11458333333333334,2,4
OU,0.4,144,27,0.1875,0.1875,0.11458333333333334,2,4
