param,initial_low,initial_high,nroy_min,nroy_max,nroy_p05,nroy_p95,shrink_pct
alpha_mean,0.57,0.92,0.5707676522699834,0.9196362836535994,0.5913831806160573,0.9092444181755414,0.3232481761097361
alpha_std,0.03,0.13,0.0301525005982843,0.1299519948694769,0.0343862511514563,0.12097236181198359,0.2005057288074097
wage,0.9,1.45,0.9012193316911814,1.435832966391878,0.9255132059987848,1.3638506273782889,2.797520963509681
productivity,0.95,1.95,0.954737082671058,1.4913409713591843,0.9862278445345953,1.437960808208712,46.33961113118736
loan_rate,0.012,0.073,0.0120272436265328,0.0721084028509047,0.01357883465056974,0.06901188331400918,1.5062963534886897
deposit_rate,0.001,0.028,0.0011819084392203,0.0275893878586147,0.00262035050790984,0.026933791006385863,2.1945206689096386
bank_credit_multiplier,4.2,14.0,4.213042674668452,13.901351612955814,4.830999453569465,13.293845651123076,1.139704711353462
hh_debt_cap_multiplier,2.1,4.8,2.1206185243764413,4.794753406372313,2.262735350880104,4.696018067842389,0.9579673334862315
firm_debt_cap_multiplier,1.6,4.8,1.6140300234685068,4.740934857541333,1.7144910999817624,4.60285460179876,2.284223935224161
adaptation_rate,0.25,0.95,0.2517206488458421,0.9491599465254704,0.32331245563664207,0.9171070207334371,0.36581461719594754
price_elasticity,0.95,2.9,0.9544647135878525,2.8797976403473773,1.0185398728138617,2.805791297632377,1.2649781148961647
skill_wage_weight,0.03,0.49,0.031429214869203,0.4898069873858909,0.05258813278449374,0.46763084947506584,0.35265814854610333
demand_smoothing,0.06,0.35,0.0612089999729737,0.3452331269679727,0.0698113736154967,0.32929004752135493,2.060645863793431
price_adjust_speed,0.08,0.45,0.0805201332603096,0.4487592106078621,0.10064258249587209,0.4394130733108357,0.47592504120201884
price_stickiness,0.45,0.9,0.4522926289193826,0.8947135462342461,0.46265067683231664,0.8668149959820163,1.6842405966969953
max_price_step,0.04,0.22,0.0402594060897956,0.2172602731704938,0.044434120196336094,0.20846344347288917,1.666184955167671
inventory_target_days,0.8,2.8,0.8158485017538362,2.795567264497776,0.8919973995426648,2.731917364065787,1.0140618628030063
demand_expectation_memory,0.15,0.65,0.1506106564213515,0.6489302463485989,0.17301223562664333,0.6363936463159374,0.33608201455053166
max_hire_per_step,3.0,12.0,3.0006104115684358,11.953861353700445,3.26125257807408,11.531257417988625,0.5194339763110123
max_fire_per_step,3.0,12.0,3.007989758043353,11.992354462819613,3.362607216654172,11.359809642220181,0.1737255024859996
hh_max_dsr,0.2,0.65,0.200240232692704,0.6470996074583606,0.23076798251557246,0.6265497732626978,0.6979167187429747
firm_max_dsr,0.6,2.2,0.6023898733819933,2.1934491145441126,0.6616095264273184,2.103374662306125,0.5587974273675522
firm_reentry_lag,0.0,4.0,0.0074300555966972,3.985249022482906,0.200780689620336,3.8291104465741057,0.5545258278447873
firm_reentry_cash_fraction,0.2,0.85,0.2092939131408627,0.8498224110511494,0.23139551421228552,0.8323479407029714,1.457154167648178
consumption_memory,0.15,0.75,0.1521316119233982,0.7497475161282762,0.16980685555210312,0.7268588548571366,0.3973492991869998
precautionary_saving,0.03,0.35,0.0324702958317074,0.3486376338936633,0.05276618054482704,0.3264180374505658,1.1977068556387693
consumption_floor_prop,0.0,0.35,0.0004582643614164,0.3479007019654589,0.022956352232449635,0.33495887030758476,0.7307321131306943
consumption_ceiling_prop,1.0,2.8,1.0002456034469875,2.781117417697652,1.069628986429153,2.716200568162823,1.0626769860741847
unemployed_consumption_penalty,0.05,0.45,0.051239377903044,0.4406107436467084,0.062017627005022634,0.41844050960284024,2.6571585640839057
unemployment_transfer,0.0,0.25,0.0011287461348811,0.2499545383490162,0.022195804762572217,0.2290291429228011,0.46968311434595345
