component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,624,21,0.03365384615384615,0.10096153846153846,0.058894230769230775,3,3
CU,0.2,624,27,0.04326923076923077,0.10096153846153846,0.058894230769230775,3,3
CU,0.3,624,36,0.057692307692307696,0.10096153846153846,0.058894230769230775,3,3
CU,0.4,624,63,0.10096153846153846,0.10096153846153846,0.058894230769230775,3,3
EV,0.1,624,21,0.03365384615384615,0.08173076923076923,0.05288461538461538,4,4
EV,0.2,624,21,0.03365384615384615,0.08173076923076923,0.05288461538461538,4,4
EV,0.3,624,39,0.0625,0.08173076923076923,0.05288461538461538,4,4
EV,0.4,624,51,0.08173076923076923,0.08173076923076923,0.05288461538461538,4,4
MD,0.1,624,27,0.04326923076923077,0.25,0.14903846153846154,2,2
MD,0.2,624,78,0.125,0.25,0.14903846153846154,2,2
MD,0.3,624,111,0.1778846153846154,0.25,0.14903846153846154,2,2
MD,0.4,624,156,0.25,0.25,0.14903846153846154,2,2
OU,0.1,624,30,0.04807692307692308,0.27403846153846156,0.16346153846153846,1,1
OU,0.2,624,87,0.13942307692307693,0.27403846153846156,0.16346153846153846,1,1
OU,0.3,624,120,0.19230769230769232,0.27403846153846156,0.16346153846153846,1,1
OU,0.4,624,171,0.27403846153846156,0.27403846153846156,0.16346153846153846,1,1
