component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,809,0,0.0,0.0,0.0,3,3
CU,0.2,809,0,0.0,0.0,0.0,3,3
CU,0.3,809,0,0.0,0.0,0.0,3,3
CU,0.4,809,0,0.0,0.0,0.0,3,3
EV,0.1,809,0,0.0,0.0,0.0,3,3
EV,0.2,809,0,0.0,0.0,0.0,3,3
EV,0.3,809,0,0.0,0.0,0.0,3,3
EV,0.4,809,0,0.0,0.0,0.0,3,3
MD,0.1,809,0,0.0,0.022249690976514216,0.00896168108776267,1,1
MD,0.2,809,3,0.003708281829419036,0.022249690976514216,0.00896168108776267,1,1
MD,0.3,809,8,0.009888751545117428,0.022249690976514216,0.00896168108776267,1,1
MD,0.4,809,18,0.022249690976514216,0.022249690976514216,0.00896168108776267,1,1
OU,0.1,809,0,0.0,0.018541409147095178,0.0071075401730531515,2,2
OU,0.2,809,3,0.003708281829419036,0.018541409147095178,0.0071075401730531515,2,2
OU,0.3,809,5,0.006180469715698393,0.018541409147095178,0.0071075401730531515,2,2
OU,0.4,809,15,0.018541409147095178,0.018541409147095178,0.0071075401730531515,2,2
