metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,21.424500000000002,21.424500000000002,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,25.112734788126026,25.112734788126026,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,29.146831172021407,29.146831172021407,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.16179619199529022,0.16179619199529022,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.001323000000000038,0.001323000000000038,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,1e-09,1e-09,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.03645000000000001,0.03645000000000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.007489173144594102,0.007489173144594102,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.00918000000000003,0.00918000000000003,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.14580000000000004,0.14580000000000004,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.2654246858272375,2.2654246858272375,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,0.9968192858577872,0.9968192858577872,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,5.494648365573633,5.494648365573633,0.0,fixed_baseline,0,,,
