metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,9.37321875,,0.9,25.0,87.85722973535155,259.98,seed_replicates,305,True,
Output_mean,80.0,10.0,10.986821469805134,,0.9,100.0,120.71024600937105,628.4666514263708,seed_replicates,305,True,
Consumption_mean,80.0,10.0,12.751738637759365,,0.9,100.0,162.60683828572508,452.7171863212876,seed_replicates,305,True,
AvgPrice_mean,1.05,0.05000000000000001,0.07078583399793946,,0.9,0.002500000000000001,0.005010634294783842,0.00022736430206608433,seed_replicates,305,True,
DefaultsHH_rate,0.004,0.002,0.0005788125000000166,,0.9,4e-06,3.350239101562692e-07,3.5905349794242226e-07,seed_replicates,305,True,
BankFailed_share,0.0,0.01,4.375e-10,,0.9,0.0001,1.9140624999999998e-19,0.0,seed_replicates,305,True,
BankResolved_share,0.05,0.03,0.015946875000000003,,0.9,0.0009,0.0002543028222656251,0.0011090534979423892,seed_replicates,305,True,
BankResolutionHaircut_mean,0.02,0.01,0.0032765132507599193,,0.9,0.0001,1.0735539082405334e-05,5.084978298971094e-05,seed_replicates,305,True,
BankBailedOut_share,0.02,0.02,0.004016250000000013,,0.9,0.0004,1.6130264062500103e-05,4.1152263374485505e-05,seed_replicates,305,True,
BankBailoutAmount_mean,0.2,0.20000000000000004,0.06378750000000001,,0.9,0.040000000000000015,0.004068845156250001,0.0033976468483448738,seed_replicates,305,True,
Transfers_mean,6.5,2.0,0.9911233000494164,,0.9,4.0,0.9823253959008454,3.654381745254827,seed_replicates,305,True,
HH_Deposit_mean,1.5,1.0,0.4361084375627819,,0.9,1.0,0.19019056931345082,0.3284023806839115,seed_replicates,305,True,
Bank_Equity_mean,10.0,7.5,2.4039086599384643,,0.9,56.25,5.778776845327143,6.759377637637598,seed_replicates,305,True,
