metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,9.871115625000002,9.871115625000002,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,11.085261394666688,11.085261394666688,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,13.168554468184627,13.168554468184627,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05000000000000001,0.07300566868802823,0.07300566868802823,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0005670000000000231,0.0005670000000000231,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,4.375e-10,4.375e-10,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.015946875000000003,0.015946875000000003,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.003438039914114248,0.003438039914114248,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.004016250000000013,0.004016250000000013,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.20000000000000004,0.06378750000000001,0.06378750000000001,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,1.0043498648278357,1.0043498648278357,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,0.4315275539472473,0.4315275539472473,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,2.404009551023715,2.404009551023715,0.0,fixed_baseline,0,,,
