metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,9.871115625000002,,0.9,25.0,97.43892368211917,265.9570370370369,seed_replicates,311,True,
Output_mean,80.0,10.0,11.085261394666688,,0.9,100.0,122.88302018808764,664.5083428558422,seed_replicates,311,True,
Consumption_mean,80.0,10.0,13.168554468184627,,0.9,100.0,173.41082678154532,425.3413061158467,seed_replicates,311,True,
AvgPrice_mean,1.05,0.05000000000000001,0.07300566868802823,,0.9,0.002500000000000001,0.005329827660586145,0.00018952485206036687,seed_replicates,311,True,
DefaultsHH_rate,0.004,0.002,0.0005670000000000231,,0.9,4e-06,3.214890000000262e-07,3.71399176954751e-07,seed_replicates,311,True,
BankFailed_share,0.0,0.01,4.375e-10,,0.9,0.0001,1.9140624999999998e-19,0.0,seed_replicates,311,True,
BankResolved_share,0.05,0.03,0.015946875000000003,,0.9,0.0009,0.0002543028222656251,0.0012499999999999994,seed_replicates,311,True,
BankResolutionHaircut_mean,0.02,0.01,0.003438039914114248,,0.9,0.0001,1.1820118451042706e-05,6.128429101979194e-05,seed_replicates,311,True,
BankBailedOut_share,0.02,0.02,0.004016250000000013,,0.9,0.0004,1.6130264062500103e-05,4.115226337448551e-05,seed_replicates,311,True,
BankBailoutAmount_mean,0.2,0.20000000000000004,0.06378750000000001,,0.9,0.040000000000000015,0.004068845156250001,0.0032692232015956195,seed_replicates,311,True,
Transfers_mean,6.5,2.0,1.0043498648278357,,0.9,4.0,1.008718650979692,3.2668845724201256,seed_replicates,311,True,
HH_Deposit_mean,1.5,1.0,0.4315275539472473,,0.9,1.0,0.1862160298156944,0.3217860096627955,seed_replicates,311,True,
Bank_Equity_mean,10.0,7.5,2.404009551023715,,0.9,56.25,5.7792619214132435,10.215098207160644,seed_replicates,311,True,
