metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,7.5,,0.9,25.0,56.25,6.38088888888889,seed_replicates,8,True,
Output_mean,80.0,10.0,15.0,,0.9,100.0,225.0,27.099853378649325,seed_replicates,8,True,
Consumption_mean,80.0,10.0,15.0,,0.9,100.0,225.0,22.790069559634368,seed_replicates,8,True,
AvgPrice_mean,1.05,0.05,0.1,,0.9,0.0025000000000000005,0.010000000000000002,7.556566466711114e-05,seed_replicates,8,True,
DefaultsHH_rate,0.004,0.002,0.003,,0.9,4e-06,9e-06,1.5787499999999997e-05,seed_replicates,8,True,
BankFailed_share,0.0,0.01,0.01,,0.9,0.0001,0.0001,0.0,seed_replicates,8,True,
BankResolved_share,0.05,0.03,0.05,,0.9,0.0009,0.0025000000000000005,0.0017187499999999994,seed_replicates,8,True,
BankResolutionHaircut_mean,0.02,0.01,0.02,,0.9,0.0001,0.0004,0.0008138960656628994,seed_replicates,8,True,
BankBailedOut_share,0.02,0.02,0.03,,0.9,0.0004,0.0009,9.37499999999999e-05,seed_replicates,8,True,
BankBailoutAmount_mean,0.2,0.2,0.3,,0.9,0.04000000000000001,0.09,0.0012121051949491178,seed_replicates,8,True,
Transfers_mean,6.5,2.0,3.0,,0.9,4.0,9.0,0.10176290296722625,seed_replicates,8,True,
HH_Deposit_mean,1.5,1.0,1.5,,0.9,1.0,2.25,0.09553939023013955,seed_replicates,8,True,
Bank_Equity_mean,10.0,7.5,10.0,,0.9,56.25,100.0,11.222917432048293,seed_replicates,8,True,
PriceDispersion_mean,0.1,0.06,0.12,,0.9,0.0036,0.0144,0.00010974374580738594,seed_replicates,8,False,
InventoryGap_mean,0.0,0.25,0.35,,0.9,0.0625,0.12249999999999998,0.3547060558318783,seed_replicates,8,False,
CreditRejections_mean,1.0,1.0,2.0,,0.9,1.0,4.0,35.17066666666667,seed_replicates,8,False,
FirmDowntimeShare_mean,0.05,0.04,0.07,,0.9,0.0016,0.004900000000000001,0.0,seed_replicates,8,False,
