metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,7.5,26.033333333333346,18.533333333333346,wave1_empirical_residual_median,19,26.033333333333346,30.933333333333337,
Output_mean,80.0,10.0,15.0,31.692241219953004,16.692241219953004,wave1_empirical_residual_median,19,31.692241219953004,59.14668610743162,
Consumption_mean,80.0,10.0,15.0,26.15443168927031,11.15443168927031,wave1_empirical_residual_median,19,26.15443168927031,38.72543969109046,
AvgPrice_mean,1.05,0.05,0.1,0.2803993761691368,0.1803993761691368,wave1_empirical_residual_median,19,0.2803993761691368,0.35832179913009427,
DefaultsHH_rate,0.004,0.002,0.003,0.004444444444444433,0.001444444444444433,wave1_empirical_residual_median,19,0.004444444444444433,0.011444444444444417,
BankFailed_share,0.0,0.01,0.01,1e-09,-0.009999999,wave1_empirical_residual_median,19,0.0,0.0,
BankResolved_share,0.05,0.03,0.05,0.08888888888888886,0.03888888888888886,wave1_empirical_residual_median,19,0.08888888888888886,0.20277777777777775,
BankResolutionHaircut_mean,0.02,0.01,0.02,0.02,0.0,wave1_empirical_residual_median,19,0.02,0.036960193210918764,
BankBailedOut_share,0.02,0.02,0.03,0.02,-0.009999999999999998,wave1_empirical_residual_median,19,0.02,0.02,
BankBailoutAmount_mean,0.2,0.2,0.3,0.2,-0.09999999999999998,wave1_empirical_residual_median,19,0.2,0.2,
Transfers_mean,6.5,2.0,3.0,3.0966714821310912,0.09667148213109122,wave1_empirical_residual_median,19,3.0966714821310912,3.879377601115296,
HH_Deposit_mean,1.5,1.0,1.5,1.4274285518866825,-0.0725714481133175,wave1_empirical_residual_median,19,1.4274285518866825,1.5,
Bank_Equity_mean,10.0,7.5,10.0,6.009293729002122,-3.990706270997878,wave1_empirical_residual_median,19,6.009293729002122,7.295010342479937,
PriceDispersion_mean,0.1,0.06,0.12,0.048692535492145306,-0.07130746450785469,wave1_empirical_residual_median,19,0.048692535492145306,0.058090230261822556,
InventoryGap_mean,0.0,0.25,0.35,0.2775684969772581,-0.07243150302274187,wave1_empirical_residual_median,19,0.2775684969772581,0.9568254810146266,
CreditRejections_mean,1.0,1.0,2.0,88.2,86.2,wave1_empirical_residual_median,19,88.2,99.63333333333334,
FirmDowntimeShare_mean,0.05,0.04,0.07,0.05,-0.020000000000000004,wave1_empirical_residual_median,19,0.05,0.05,
