metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,26.033333333333346,26.033333333333346,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,31.692241219953004,31.692241219953004,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,26.15443168927031,26.15443168927031,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.2803993761691368,0.2803993761691368,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.004444444444444433,0.004444444444444433,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,1e-09,1e-09,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.08888888888888886,0.08888888888888886,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.02,0.02,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.02,0.02,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.2,0.2,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,3.0966714821310912,3.0966714821310912,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.4274285518866825,1.4274285518866825,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,6.009293729002122,6.009293729002122,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.048692535492145306,0.048692535492145306,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.2775684969772581,0.2775684969772581,0.0,fixed_baseline,0,,,
CreditRejections_mean,1.0,1.0,88.2,88.2,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.05,0.05,0.0,fixed_baseline,0,,,
