component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,48,3,0.0625,0.0625,0.0625,2,2
CU,0.2,48,3,0.0625,0.0625,0.0625,2,2
CU,0.3,48,3,0.0625,0.0625,0.0625,2,2
CU,0.4,48,3,0.0625,0.0625,0.0625,2,2
EV,0.1,48,0,0.0,0.0,0.0,3,4
EV,0.2,48,0,0.0,0.0,0.0,3,4
EV,0.3,48,0,0.0,0.0,0.0,3,4
EV,0.4,48,0,0.0,0.0,0.0,3,4
MD,0.1,48,0,0.0,0.25,0.109375,1,1
MD,0.2,48,3,0.0625,0.25,0.109375,1,1
MD,0.3,48,6,0.125,0.25,0.109375,1,1
MD,0.4,48,12,0.25,0.25,0.109375,1,1
OU,0.1,48,0,0.0,0.0625,0.03125,2,3
OU,0.2,48,0,0.0,0.0625,0.03125,2,3
OU,0.3,48,3,0.0625,0.0625,0.03125,2,3
OU,0.4,48,3,0.0625,0.0625,0.03125,2,3
