metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,7.5,23.65,16.15,wave1_empirical_residual_median,19,23.65,29.03333333333333,
Output_mean,80.0,10.0,15.0,34.15881320543447,19.15881320543447,wave1_empirical_residual_median,19,34.15881320543447,66.80428823535736,
Consumption_mean,80.0,10.0,15.0,29.151046960176004,14.151046960176004,wave1_empirical_residual_median,19,29.151046960176004,50.27117486711248,
AvgPrice_mean,1.05,0.05,0.1,0.17827967807706335,0.07827967807706335,wave1_empirical_residual_median,19,0.17827967807706335,0.28394989687733524,
DefaultsHH_rate,0.004,0.002,0.003,0.006611111111111099,0.003611111111111099,wave1_empirical_residual_median,19,0.006611111111111099,0.012194444444444417,
BankFailed_share,0.0,0.01,0.01,1e-09,-0.009999999,wave1_empirical_residual_median,19,0.0,0.0,
BankResolved_share,0.05,0.03,0.05,0.1055555555555555,0.0555555555555555,wave1_empirical_residual_median,19,0.1055555555555555,0.21666666666666662,
BankResolutionHaircut_mean,0.02,0.01,0.02,0.019344487880060365,-0.0006555121199396351,wave1_empirical_residual_median,19,0.019344487880060365,0.02,
BankBailedOut_share,0.02,0.02,0.03,0.02,-0.009999999999999998,wave1_empirical_residual_median,19,0.02,0.02,
BankBailoutAmount_mean,0.2,0.2,0.3,0.2,-0.09999999999999998,wave1_empirical_residual_median,19,0.2,0.2,
Transfers_mean,6.5,2.0,3.0,2.8740005783620846,-0.12599942163791544,wave1_empirical_residual_median,19,2.8740005783620846,5.067638820396715,
HH_Deposit_mean,1.5,1.0,1.5,1.471843112098648,-0.028156887901352068,wave1_empirical_residual_median,19,1.471843112098648,1.5,
Bank_Equity_mean,10.0,7.5,10.0,6.432227608298367,-3.5677723917016326,wave1_empirical_residual_median,19,6.432227608298367,19.95491604173139,
PriceDispersion_mean,0.1,0.06,0.12,0.043377656959014015,-0.07662234304098597,wave1_empirical_residual_median,19,0.043377656959014015,0.0549851545303163,
InventoryGap_mean,0.0,0.25,0.35,0.43191468606710415,0.08191468606710417,wave1_empirical_residual_median,19,0.43191468606710415,1.332193895751368,
CreditRejections_mean,1.0,1.0,2.0,91.93333333333334,89.93333333333334,wave1_empirical_residual_median,19,91.93333333333334,97.68333333333334,
FirmDowntimeShare_mean,0.05,0.04,0.07,0.05,-0.020000000000000004,wave1_empirical_residual_median,19,0.05,0.05,
