metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,33.16666666666667,,0.9,25.0,1100.027777777778,19.47148148148137,seed_replicates,391,True,
Output_mean,80.0,10.0,59.033190996536945,,0.9,100.0,3484.9176392336108,40.838127733373426,seed_replicates,391,True,
Consumption_mean,80.0,10.0,43.86366500414721,,0.9,100.0,1924.0211075960485,31.468949711993417,seed_replicates,391,True,
AvgPrice_mean,1.05,0.05,0.22621476249894745,,0.9,0.0025000000000000005,0.0511731187724552,0.0003842676758879682,seed_replicates,391,True,
DefaultsHH_rate,0.004,0.002,0.0019629629629629,,0.9,4e-06,3.853223593964087e-06,4.331275720164296e-07,seed_replicates,391,True,
BankFailed_share,0.0,0.01,1e-09,,0.9,0.0001,1e-18,0.0,seed_replicates,391,True,
BankResolved_share,0.05,0.03,0.0444444444444445,,0.9,0.0009,0.001975308641975314,0.0003703703703703696,seed_replicates,391,True,
BankResolutionHaircut_mean,0.02,0.01,0.015815867491685467,,0.9,0.0001,0.00025014166451455314,3.6779240923979254e-05,seed_replicates,391,True,
BankBailedOut_share,0.02,0.02,0.02,,0.9,0.0004,0.0004,3.086419753086414e-05,seed_replicates,391,True,
BankBailoutAmount_mean,0.2,0.2,0.2,,0.9,0.04000000000000001,0.04000000000000001,0.005000676821286312,seed_replicates,391,True,
Transfers_mean,6.5,2.0,4.807356566951071,,0.9,4.0,23.11067716180759,0.26292884552549645,seed_replicates,391,True,
HH_Deposit_mean,1.5,1.0,1.5,,0.9,1.0,2.25,0.650195248568598,seed_replicates,391,True,
Bank_Equity_mean,10.0,7.5,3.756867638888628,,0.9,56.25,14.114054456128613,33.83592324035257,seed_replicates,391,True,
PriceDispersion_mean,0.1,0.06,0.04152641233965893,,0.9,0.0036,0.0017244429218033776,0.00028284112952778133,seed_replicates,391,False,
InventoryGap_mean,0.0,0.25,0.041020793231070135,,0.9,0.0625,0.0016827054773062094,0.018423254739216806,seed_replicates,391,False,
CreditRejections_mean,1.0,1.0,99.65555555555555,,0.9,1.0,9931.22975308642,14.023333333333293,seed_replicates,391,False,
FirmDowntimeShare_mean,0.05,0.04,0.05,,0.9,0.0016,0.0025000000000000005,0.0,seed_replicates,391,False,
