component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,1181,0,0.0,0.005080440304826418,0.0031752751905165114,3,3
CU,0.2,1181,3,0.002540220152413209,0.005080440304826418,0.0031752751905165114,3,3
CU,0.3,1181,6,0.005080440304826418,0.005080440304826418,0.0031752751905165114,3,3
CU,0.4,1181,6,0.005080440304826418,0.005080440304826418,0.0031752751905165114,3,3
EV,0.1,1181,0,0.0,0.0,0.0,4,4
EV,0.2,1181,0,0.0,0.0,0.0,4,4
EV,0.3,1181,0,0.0,0.0,0.0,4,4
EV,0.4,1181,0,0.0,0.0,0.0,4,4
MD,0.1,1181,6,0.005080440304826418,0.07705334462320068,0.03662150719729043,1,1
MD,0.2,1181,18,0.015241320914479255,0.07705334462320068,0.03662150719729043,1,1
MD,0.3,1181,58,0.04911092294665537,0.07705334462320068,0.03662150719729043,1,1
MD,0.4,1181,91,0.07705334462320068,0.07705334462320068,0.03662150719729043,1,1
OU,0.1,1181,0,0.0,0.013547840812870448,0.00550381033022862,2,2
OU,0.2,1181,3,0.002540220152413209,0.013547840812870448,0.00550381033022862,2,2
OU,0.3,1181,7,0.0059271803556308214,0.013547840812870448,0.00550381033022862,2,2
OU,0.4,1181,16,0.013547840812870448,0.013547840812870448,0.00550381033022862,2,2
