metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,33.16666666666667,33.16666666666667,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,59.033190996536945,59.033190996536945,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,43.86366500414721,43.86366500414721,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.22621476249894745,0.22621476249894745,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0019629629629629,0.0019629629629629,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,1e-09,1e-09,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.0444444444444445,0.0444444444444445,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.015815867491685467,0.015815867491685467,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.02,0.02,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.2,0.2,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,4.807356566951071,4.807356566951071,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.5,1.5,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,3.756867638888628,3.756867638888628,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.04152641233965893,0.04152641233965893,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.041020793231070135,0.041020793231070135,0.0,fixed_baseline,0,,,
CreditRejections_mean,1.0,1.0,99.65555555555555,99.65555555555555,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.05,0.05,0.0,fixed_baseline,0,,,
