metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,33.12222222222222,,0.9,25.0,1097.0816049382715,23.861111111111132,seed_replicates,391,True,
Output_mean,80.0,10.0,62.33063906435976,,0.9,100.0,3885.1085661714906,45.54188946459546,seed_replicates,391,True,
Consumption_mean,80.0,10.0,42.8815702808743,,0.9,100.0,1838.829069753562,44.83940098053869,seed_replicates,391,True,
AvgPrice_mean,1.05,0.05,0.22838360296835192,,0.9,0.0025000000000000005,0.052159070104805805,0.0003208839252818868,seed_replicates,391,True,
DefaultsHH_rate,0.004,0.002,0.0020185185185184673,,0.9,4e-06,4.074417009601988e-06,4.207818930041234e-07,seed_replicates,391,True,
BankFailed_share,0.0,0.01,1e-09,,0.9,0.0001,1e-18,0.0,seed_replicates,391,True,
BankResolved_share,0.05,0.03,0.04814814814814809,,0.9,0.0009,0.002318244170096017,0.0004012345679012351,seed_replicates,391,True,
BankResolutionHaircut_mean,0.02,0.01,0.0157694664383154,,0.9,0.0001,0.0002486760717491558,3.0872140566346586e-05,seed_replicates,391,True,
BankBailedOut_share,0.02,0.02,0.02,,0.9,0.0004,0.0004,3.086419753086413e-05,seed_replicates,391,True,
BankBailoutAmount_mean,0.2,0.2,0.2,,0.9,0.04000000000000001,0.04000000000000001,0.004822764947591005,seed_replicates,391,True,
Transfers_mean,6.5,2.0,4.748673384214598,,0.9,4.0,22.549898909948123,0.34745864155809386,seed_replicates,391,True,
HH_Deposit_mean,1.5,1.0,1.5,,0.9,1.0,2.25,0.7931915646804402,seed_replicates,391,True,
Bank_Equity_mean,10.0,7.5,3.7721553060333006,,0.9,56.25,14.229155652835184,33.24845738519208,seed_replicates,391,True,
PriceDispersion_mean,0.1,0.06,0.042375972698292706,,0.9,0.0036,0.0017957230621264489,0.00022499194529068472,seed_replicates,391,False,
InventoryGap_mean,0.0,0.25,0.0372920370683138,,0.9,0.0625,0.0013906960287044905,0.028873004285949282,seed_replicates,391,False,
CreditRejections_mean,1.0,1.0,99.94444444444444,,0.9,1.0,9988.891975308641,14.512592592592664,seed_replicates,391,False,
FirmDowntimeShare_mean,0.05,0.04,0.05,,0.9,0.0016,0.0025000000000000005,0.0,seed_replicates,391,False,
