metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,29.81,29.81,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,56.097575157923785,56.097575157923785,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,38.593413252786874,38.593413252786874,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.20554524267151672,0.20554524267151672,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0018166666666666205,0.0018166666666666205,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,1e-09,1e-09,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.043333333333333286,0.043333333333333286,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.014192519794483861,0.014192519794483861,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.018000000000000002,0.018000000000000002,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.18000000000000002,0.18000000000000002,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,4.273806045793139,4.273806045793139,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.35,1.35,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,3.394939775429971,3.394939775429971,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.038138375428463434,0.038138375428463434,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.03356283336148242,0.03356283336148242,0.0,fixed_baseline,0,,,
CreditRejections_mean,1.0,1.0,89.95,89.95,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.045000000000000005,0.045000000000000005,0.0,fixed_baseline,0,,,
