component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,252,3,0.011904761904761904,0.03571428571428571,0.023809523809523808,3,3
CU,0.2,252,3,0.011904761904761904,0.03571428571428571,0.023809523809523808,3,3
CU,0.3,252,9,0.03571428571428571,0.03571428571428571,0.023809523809523808,3,3
CU,0.4,252,9,0.03571428571428571,0.03571428571428571,0.023809523809523808,3,3
EV,0.1,252,3,0.011904761904761904,0.023809523809523808,0.017857142857142856,4,4
EV,0.2,252,3,0.011904761904761904,0.023809523809523808,0.017857142857142856,4,4
EV,0.3,252,6,0.023809523809523808,0.023809523809523808,0.017857142857142856,4,4
EV,0.4,252,6,0.023809523809523808,0.023809523809523808,0.017857142857142856,4,4
MD,0.1,252,3,0.011904761904761904,0.21428571428571427,0.12797619047619047,1,1
MD,0.2,252,30,0.11904761904761904,0.21428571428571427,0.12797619047619047,1,1
MD,0.3,252,42,0.16666666666666666,0.21428571428571427,0.12797619047619047,1,1
MD,0.4,252,54,0.21428571428571427,0.21428571428571427,0.12797619047619047,1,1
OU,0.1,252,0,0.0,0.09523809523809523,0.03273809523809523,2,2
OU,0.2,252,3,0.011904761904761904,0.09523809523809523,0.03273809523809523,2,2
OU,0.3,252,6,0.023809523809523808,0.09523809523809523,0.03273809523809523,2,2
OU,0.4,252,24,0.09523809523809523,0.09523809523809523,0.03273809523809523,2,2
