metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,7.115526000000002,7.115526000000002,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,14.231052000000004,14.231052000000004,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,14.231052000000004,14.231052000000004,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.08301447000000002,0.08301447000000002,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.003234330000000001,0.003234330000000001,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.010781100000000002,0.010781100000000002,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.05390550000000001,0.05390550000000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.021562200000000004,0.021562200000000004,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.03234330000000001,0.03234330000000001,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.2501215200000001,0.2501215200000001,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.5012152000000003,2.5012152000000003,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.2506076000000002,1.2506076000000002,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,8.344571400000003,8.344571400000003,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.12937320000000005,0.12937320000000005,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.37733850000000013,0.37733850000000013,0.0,fixed_baseline,0,,,
CreditRejections_mean,30.0,5.0,21.562200000000004,21.562200000000004,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.07546770000000003,0.07546770000000003,0.0,fixed_baseline,0,,,
