component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,381,18,0.047244094488188976,0.14960629921259844,0.10433070866141732,3,3
CU,0.2,381,36,0.09448818897637795,0.14960629921259844,0.10433070866141732,3,3
CU,0.3,381,48,0.12598425196850394,0.14960629921259844,0.10433070866141732,3,3
CU,0.4,381,57,0.14960629921259844,0.14960629921259844,0.10433070866141732,3,3
EV,0.1,381,21,0.05511811023622047,0.11811023622047244,0.08267716535433071,4,4
EV,0.2,381,27,0.07086614173228346,0.11811023622047244,0.08267716535433071,4,4
EV,0.3,381,33,0.08661417322834646,0.11811023622047244,0.08267716535433071,4,4
EV,0.4,381,45,0.11811023622047244,0.11811023622047244,0.08267716535433071,4,4
MD,0.1,381,48,0.12598425196850394,0.3858267716535433,0.2618110236220472,1,1
MD,0.2,381,87,0.2283464566929134,0.3858267716535433,0.2618110236220472,1,1
MD,0.3,381,117,0.30708661417322836,0.3858267716535433,0.2618110236220472,1,1
MD,0.4,381,147,0.3858267716535433,0.3858267716535433,0.2618110236220472,1,1
OU,0.1,381,21,0.05511811023622047,0.2283464566929134,0.14763779527559057,2,2
OU,0.2,381,45,0.11811023622047244,0.2283464566929134,0.14763779527559057,2,2
OU,0.3,381,72,0.1889763779527559,0.2283464566929134,0.14763779527559057,2,2
OU,0.4,381,87,0.2283464566929134,0.2283464566929134,0.14763779527559057,2,2
