metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,7.0823808,7.0823808,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,14.1647616,14.1647616,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,14.1647616,14.1647616,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.082627776,0.082627776,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0032192640000000008,0.0032192640000000008,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.010730880000000002,0.010730880000000002,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.05365440000000001,0.05365440000000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.021461760000000003,0.021461760000000003,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.03219264,0.03219264,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.24895641600000004,0.24895641600000004,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.48956416,2.48956416,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.24478208,1.24478208,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,8.305701120000002,8.305701120000002,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.12877056,0.12877056,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.37558080000000005,0.37558080000000005,0.0,fixed_baseline,0,,,
CreditRejections_mean,30.0,5.0,21.461760000000005,21.461760000000005,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.07511616000000003,0.07511616000000003,0.0,fixed_baseline,0,,,
