component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,63,0,0.0,0.0,0.0,2,2
CU,0.2,63,0,0.0,0.0,0.0,2,2
CU,0.3,63,0,0.0,0.0,0.0,2,2
CU,0.4,63,0,0.0,0.0,0.0,2,2
EV,0.1,63,0,0.0,0.0,0.0,2,2
EV,0.2,63,0,0.0,0.0,0.0,2,2
EV,0.3,63,0,0.0,0.0,0.0,2,2
EV,0.4,63,0,0.0,0.0,0.0,2,2
MD,0.1,63,0,0.0,0.047619047619047616,0.023809523809523808,1,1
MD,0.2,63,0,0.0,0.047619047619047616,0.023809523809523808,1,1
MD,0.3,63,3,0.047619047619047616,0.047619047619047616,0.023809523809523808,1,1
MD,0.4,63,3,0.047619047619047616,0.047619047619047616,0.023809523809523808,1,1
OU,0.1,63,0,0.0,0.0,0.0,2,2
OU,0.2,63,0,0.0,0.0,0.0,2,2
OU,0.3,63,0,0.0,0.0,0.0,2,2
OU,0.4,63,0,0.0,0.0,0.0,2,2
