component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,216,39,0.18055555555555555,0.4166666666666667,0.3055555555555556,3,3
CU,0.2,216,60,0.2777777777777778,0.4166666666666667,0.3055555555555556,3,3
CU,0.3,216,75,0.3472222222222222,0.4166666666666667,0.3055555555555556,3,3
CU,0.4,216,90,0.4166666666666667,0.4166666666666667,0.3055555555555556,3,3
EV,0.1,216,45,0.20833333333333334,0.5,0.3541666666666667,2,2
EV,0.2,216,66,0.3055555555555556,0.5,0.3541666666666667,2,2
EV,0.3,216,87,0.4027777777777778,0.5,0.3541666666666667,2,2
EV,0.4,216,108,0.5,0.5,0.3541666666666667,2,2
MD,0.1,216,60,0.2777777777777778,0.625,0.46875,1,1
MD,0.2,216,93,0.4305555555555556,0.625,0.46875,1,1
MD,0.3,216,117,0.5416666666666666,0.625,0.46875,1,1
MD,0.4,216,135,0.625,0.625,0.46875,1,1
OU,0.1,216,36,0.16666666666666666,0.4027777777777778,0.28125,4,4
OU,0.2,216,51,0.2361111111111111,0.4027777777777778,0.28125,4,4
OU,0.3,216,69,0.3194444444444444,0.4027777777777778,0.28125,4,4
OU,0.4,216,87,0.4027777777777778,0.4027777777777778,0.28125,4,4
