metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,7.69824,7.69824,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,15.39648,15.39648,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,15.39648,15.39648,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.0898128,0.0898128,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0034992000000000005,0.0034992000000000005,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.011664,0.011664,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.05832000000000001,0.05832000000000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.023328,0.023328,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.034992,0.034992,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.27060480000000003,0.27060480000000003,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.706048,2.706048,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.353024,1.353024,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,9.027936000000002,9.027936000000002,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.139968,0.139968,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.40824000000000005,0.40824000000000005,0.0,fixed_baseline,0,,,
CreditRejections_mean,30.0,5.0,23.328000000000003,23.328000000000003,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.08164800000000003,0.08164800000000003,0.0,fixed_baseline,0,,,
