component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,42,0,0.0,0.21428571428571427,0.1607142857142857,1,1
CU,0.2,42,9,0.21428571428571427,0.21428571428571427,0.1607142857142857,1,1
CU,0.3,42,9,0.21428571428571427,0.21428571428571427,0.1607142857142857,1,1
CU,0.4,42,9,0.21428571428571427,0.21428571428571427,0.1607142857142857,1,1
EV,0.1,42,0,0.0,0.07142857142857142,0.017857142857142856,2,2
EV,0.2,42,0,0.0,0.07142857142857142,0.017857142857142856,2,2
EV,0.3,42,0,0.0,0.07142857142857142,0.017857142857142856,2,2
EV,0.4,42,3,0.07142857142857142,0.07142857142857142,0.017857142857142856,2,2
MD,0.1,42,0,0.0,0.0,0.0,3,3
MD,0.2,42,0,0.0,0.0,0.0,3,3
MD,0.3,42,0,0.0,0.0,0.0,3,3
MD,0.4,42,0,0.0,0.0,0.0,3,3
OU,0.1,42,0,0.0,0.0,0.0,3,3
OU,0.2,42,0,0.0,0.0,0.0,3,3
OU,0.3,42,0,0.0,0.0,0.0,3,3
OU,0.4,42,0,0.0,0.0,0.0,3,3
