metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,7.8607056,7.8607056,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,15.7214112,15.7214112,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,15.7214112,15.7214112,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.091708232,0.091708232,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0035730480000000005,0.0035730480000000005,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.011910160000000001,0.011910160000000001,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.05955080000000001,0.05955080000000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.023820320000000002,0.023820320000000002,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.03573048,0.03573048,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.27631571200000005,0.27631571200000005,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.7631571200000002,2.7631571200000002,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.3815785600000001,1.3815785600000001,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,9.218463840000002,9.218463840000002,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.14292192,0.14292192,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.4168556,0.4168556,0.0,fixed_baseline,0,,,
CreditRejections_mean,30.0,5.0,23.820320000000006,23.820320000000006,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.08337112000000003,0.08337112000000003,0.0,fixed_baseline,0,,,
