metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.2912075922780395,2.9533740337200918,0.3779398875485474,0.05503013725977912,0.2891127030833156,2.9577352729896975,0.3698300408467234,0.07606091140852504
UnemploymentRate_mean,False,,identity,0.2912075922806362,0.0295337403371468,0.3779398876862155,0.05503013735911285,0.2934261904789658,0.029487482182619047,0.37082721561085596,0.07549846625612602
Output_mean,False,,identity,0.7434224997451084,6.459639273024881,0.859856608121029,0.058164938551826945,0.907283904898119,3.8830818734743384,0.8931024591133079,0.03321836558204159
Consumption_mean,False,,identity,0.5916647186245791,5.45673270577615,0.731073690658223,0.035900488876318436,0.7809439982895598,3.996702351369788,0.7685753621585917,0.03368097294111216
Transfers_mean,False,,identity,0.5897298399000079,0.5085502662230087,0.7448582469170877,0.05194784538030964,0.7791525199898599,0.37311709256266173,0.7803640454318643,0.04229450215401732
AvgPrice_mean,False,,identity,0.8878348915929929,0.04129922556828054,0.9816081434203193,0.0032841809518057157,0.9812393563537509,0.016890281387435528,0.9799651434312026,0.0027771228650874153
AvgMarkup_mean,False,,identity,0.12082921067592656,0.012284254037609438,0.11934084090413781,0.10029839872923256,0.02969228786066358,0.012905264367672715,0.03075604324661361,0.1613671468435802
PriceDispersion_mean,False,,identity,0.533410980177359,0.017090509759988468,0.5938234560346685,0.050982189440308,0.6420643063663951,0.014968912985334846,0.6236180078813762,0.05649450396275591
InventoryGap_mean,False,,identity,0.1337975365060129,0.07971113585681636,0.13098891844768162,0.0790924889366797,0.0806668599540672,0.08211939636864299,0.06128821503134603,0.1362660710864138
SalesForecastError_mean,False,,identity,0.13480137589419916,0.006969093630658551,0.2050071920113207,0.04646379561266633,0.06972532328269865,0.007226433139164328,0.19031195086460723,0.09380063617129394
InventoryTurnover_mean,False,,identity,0.6609601936528537,0.04353590665774077,0.701665008755428,0.08378193762534883,0.8337738570803365,0.03048399709005467,0.7767022421687303,0.05227564693156977
CreditRejections_mean,False,,identity,0.7320348522030216,4.018675820253432,0.8416427638868733,0.03947741556363931,0.8404469933280108,3.1009610692536898,0.8390755044391384,0.005475069507514046
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,True,low_variance,,,,,,,,,
UnemploymentTransfers_mean,False,,identity,0.20174060239579783,0.41073695106705005,0.3007434590347158,0.09025064053756147,0.16261817775353138,0.4206816023963523,0.29288061340235244,0.13739426770500632
HH_Debt_mean,False,,log1p,0.029155213707814265,20.4769204308836,0.024128469911068227,0.017730988477149386,-0.0033196052178086077,20.816580517584853,-0.05846761674447685,0.06798665309633802
HH_Deposit_mean,False,,log1p,0.6973619136813962,1.6294813994885877,0.798114085064449,0.03157495465537894,0.8090295894893689,1.2944064165775946,0.8315253266788764,0.023386204769218225
Firm_Debt_mean,False,,log1p,0.029790935513802297,6.996014729479398,0.0007908823172525503,0.01168401888659555,0.1437178338419829,6.572438042674969,0.016953225166697238,0.14044719194492006
Bank_Equity_mean,False,,log1p,-0.018899440056027617,2.2504163179278938,-0.02556872408662625,0.050934604835585075,-0.23585659434212536,2.478456187313966,-0.2186853998432436,0.14626406361458139
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.11737532070569123,0.07421012151153863,0.1656105564234021,0.028312394518053747,0.11453423109414673,0.07432946341072395,0.11321384176538489,0.08935399499886927
BankResolutionAmount_mean,False,,identity,0.0803926262140493,1.03610255100983,0.13912808336291868,0.03169664881354589,0.05739999434445353,1.04897524553509,0.07981475658913573,0.056947753151667856
BankResolutionHaircut_mean,False,,identity,0.46166251061874275,0.005379013941037198,0.6736276104951274,0.10863798340602168,0.5410646677370077,0.004966507602181075,0.6836562748721211,0.10118064780231409
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,False,,identity,-0.26871603513444864,0.023658028713286896,0.10545254386141197,0.46832507240519156,-0.5630527054433134,0.02625930039449363,0.07357978580767917,0.551553335729283
Defaults_mean,False,,identity,0.1277930433831994,0.1610715731104058,0.14151447905849268,0.03856623006332779,0.12781202834514482,0.16106982011227663,0.0964518056059559,0.08733141904502141
DefaultsHH_mean,False,,identity,0.12583822164538894,0.16125197180197523,0.14130869872221713,0.03654649325982603,0.12816074672910704,0.16103761740792905,0.09731881555236621,0.08878879048891412
DefaultsFirm_mean,True,low_variance,,,,,,,,,
BalanceOK_mean,True,low_variance,,,,,,,,,
DefaultsHH_rate,False,,identity,0.8348756108235746,0.0005780241791111381,0.8299439330985472,0.04244379422650907,0.8139349544450012,0.0006135822538465907,0.8210284654850172,0.036143531970422055
DefaultsFirm_rate,False,,identity,0.6720698758253261,0.000670038771800046,0.6415008754429299,0.110869410545291,0.7459567314318705,0.0005897434458883475,0.6789682096299081,0.11943425805467438
BalanceOK_share,True,low_variance,,,,,,,,,
BankFailed_share,True,low_variance,,,,,,,,,
BankResolved_share,False,,identity,0.6536666650938427,0.028013303564044068,0.6172450534747289,0.05788932092257145,0.5696981346581611,0.031225096876802465,0.6631767615043996,0.05786815723968859
BankBailedOut_share,False,,identity,-7.233236218604077,0.0015233905690238071,-0.051167320625297365,0.9636332008646595,-12.386680847210146,0.0019425062706963593,-0.5235325708436159,1.8882877220208207
