component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,18,0,0.0,0.16666666666666666,0.125,4,4
CU,0.2,18,3,0.16666666666666666,0.16666666666666666,0.125,4,4
CU,0.3,18,3,0.16666666666666666,0.16666666666666666,0.125,4,4
CU,0.4,18,3,0.16666666666666666,0.16666666666666666,0.125,4,4
EV,0.1,18,3,0.16666666666666666,0.3333333333333333,0.25,3,3
EV,0.2,18,3,0.16666666666666666,0.3333333333333333,0.25,3,3
EV,0.3,18,6,0.3333333333333333,0.3333333333333333,0.25,3,3
EV,0.4,18,6,0.3333333333333333,0.3333333333333333,0.25,3,3
MD,0.1,18,6,0.3333333333333333,0.8333333333333334,0.6666666666666667,1,1
MD,0.2,18,12,0.6666666666666666,0.8333333333333334,0.6666666666666667,1,1
MD,0.3,18,15,0.8333333333333334,0.8333333333333334,0.6666666666666667,1,1
MD,0.4,18,15,0.8333333333333334,0.8333333333333334,0.6666666666666667,1,1
OU,0.1,18,3,0.16666666666666666,0.6666666666666666,0.375,2,2
OU,0.2,18,6,0.3333333333333333,0.6666666666666666,0.375,2,2
OU,0.3,18,6,0.3333333333333333,0.6666666666666666,0.375,2,2
OU,0.4,18,12,0.6666666666666666,0.6666666666666666,0.375,2,2
