component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,204,21,0.10294117647058823,0.3088235294117647,0.20955882352941174,3,4
CU,0.2,204,39,0.19117647058823528,0.3088235294117647,0.20955882352941174,3,4
CU,0.3,204,48,0.23529411764705882,0.3088235294117647,0.20955882352941174,3,4
CU,0.4,204,63,0.3088235294117647,0.3088235294117647,0.20955882352941174,3,4
EV,0.1,204,18,0.08823529411764706,0.3382352941176471,0.22058823529411767,2,1
EV,0.2,204,42,0.20588235294117646,0.3382352941176471,0.22058823529411767,2,1
EV,0.3,204,51,0.25,0.3382352941176471,0.22058823529411767,2,1
EV,0.4,204,69,0.3382352941176471,0.3382352941176471,0.22058823529411767,2,1
MD,0.1,204,24,0.11764705882352941,0.35294117647058826,0.21691176470588236,1,3
MD,0.2,204,36,0.17647058823529413,0.35294117647058826,0.21691176470588236,1,3
MD,0.3,204,45,0.22058823529411764,0.35294117647058826,0.21691176470588236,1,3
MD,0.4,204,72,0.35294117647058826,0.35294117647058826,0.21691176470588236,1,3
OU,0.1,204,24,0.11764705882352941,0.35294117647058826,0.22058823529411764,1,2
OU,0.2,204,36,0.17647058823529413,0.35294117647058826,0.22058823529411764,1,2
OU,0.3,204,48,0.23529411764705882,0.35294117647058826,0.22058823529411764,1,2
OU,0.4,204,72,0.35294117647058826,0.35294117647058826,0.22058823529411764,1,2
