metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,5.821794000000001,5.821794000000001,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,11.643588000000001,11.643588000000001,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,11.643588000000001,11.643588000000001,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.06792093000000002,0.06792093000000002,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.002646270000000001,0.002646270000000001,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.008820900000000003,0.008820900000000003,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.04410450000000001,0.04410450000000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.017641800000000006,0.017641800000000006,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.026462700000000006,0.026462700000000006,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.20464488000000008,0.20464488000000008,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.0464488000000007,2.0464488000000007,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.0232244000000004,1.0232244000000004,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,6.827376600000002,6.827376600000002,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.10585080000000002,0.10585080000000002,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.30873150000000005,0.30873150000000005,0.0,fixed_baseline,0,,,
CreditRejections_mean,30.0,5.0,17.641800000000003,17.641800000000003,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.06174630000000002,0.06174630000000002,0.0,fixed_baseline,0,,,
