component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,165,3,0.01818181818181818,0.07272727272727272,0.049999999999999996,4,4
CU,0.2,165,9,0.05454545454545454,0.07272727272727272,0.049999999999999996,4,4
CU,0.3,165,9,0.05454545454545454,0.07272727272727272,0.049999999999999996,4,4
CU,0.4,165,12,0.07272727272727272,0.07272727272727272,0.049999999999999996,4,4
EV,0.1,165,9,0.05454545454545454,0.10909090909090909,0.07727272727272727,3,3
EV,0.2,165,9,0.05454545454545454,0.10909090909090909,0.07727272727272727,3,3
EV,0.3,165,15,0.09090909090909091,0.10909090909090909,0.07727272727272727,3,3
EV,0.4,165,18,0.10909090909090909,0.10909090909090909,0.07727272727272727,3,3
MD,0.1,165,27,0.16363636363636364,0.6545454545454545,0.37272727272727274,1,1
MD,0.2,165,36,0.21818181818181817,0.6545454545454545,0.37272727272727274,1,1
MD,0.3,165,75,0.45454545454545453,0.6545454545454545,0.37272727272727274,1,1
MD,0.4,165,108,0.6545454545454545,0.6545454545454545,0.37272727272727274,1,1
OU,0.1,165,18,0.10909090909090909,0.34545454545454546,0.21363636363636362,2,2
OU,0.2,165,30,0.18181818181818182,0.34545454545454546,0.21363636363636362,2,2
OU,0.3,165,36,0.21818181818181817,0.34545454545454546,0.21363636363636362,2,2
OU,0.4,165,57,0.34545454545454546,0.34545454545454546,0.21363636363636362,2,2
