metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,5.1393408,5.1393408,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,10.2786816,10.2786816,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,10.2786816,10.2786816,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.059958976000000004,0.059958976000000004,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0023360640000000005,0.0023360640000000005,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.007786880000000001,0.007786880000000001,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.03893440000000001,0.03893440000000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.015573760000000002,0.015573760000000002,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.023360640000000002,0.023360640000000002,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.18065561600000005,0.18065561600000005,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,1.8065561600000002,1.8065561600000002,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,0.9032780800000001,0.9032780800000001,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,6.027045120000001,6.027045120000001,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.09344256000000001,0.09344256000000001,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.2725408,0.2725408,0.0,fixed_baseline,0,,,
CreditRejections_mean,30.0,5.0,15.573760000000005,15.573760000000005,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.054508160000000014,0.054508160000000014,0.0,fixed_baseline,0,,,
