metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,6.072,,0.9,25.0,36.869184000000004,6.771583333333333,seed_replicates,220,True,
Output_mean,80.0,10.0,12.144,,0.9,100.0,147.47673600000002,14.035692694245629,seed_replicates,220,True,
Consumption_mean,80.0,10.0,12.144,,0.9,100.0,147.47673600000002,11.131439875492202,seed_replicates,220,True,
AvgPrice_mean,1.05,0.05,0.07084,,0.9,0.0025000000000000005,0.0050183056,0.000325937022500087,seed_replicates,220,True,
DefaultsHH_rate,0.004,0.002,0.0027600000000000003,,0.9,4e-06,7.617600000000001e-06,1.8844444444445943e-07,seed_replicates,220,True,
BankFailed_share,0.0,0.01,0.0092,,0.9,0.0001,8.464e-05,0.0,seed_replicates,220,True,
BankResolved_share,0.05,0.03,0.046000000000000006,,0.9,0.0009,0.0021160000000000007,0.0006370370370370375,seed_replicates,220,True,
BankResolutionHaircut_mean,0.02,0.01,0.0184,,0.9,0.0001,0.00033856,5.767103262175928e-06,seed_replicates,220,True,
BankBailedOut_share,0.02,0.02,0.0276,,0.9,0.0004,0.00076176,0.0,seed_replicates,220,True,
BankBailoutAmount_mean,0.2,0.2,0.21344000000000002,,0.9,0.04000000000000001,0.04555663360000001,0.0,seed_replicates,220,True,
Transfers_mean,6.5,2.0,2.1344,,0.9,4.0,4.55566336,0.08832440276190819,seed_replicates,220,True,
HH_Deposit_mean,1.5,1.0,1.0672,,0.9,1.0,1.13891584,1.1050295032197424,seed_replicates,220,True,
Bank_Equity_mean,10.0,7.5,7.120800000000001,,0.9,56.25,50.70579264000001,7.776491467754371,seed_replicates,220,True,
PriceDispersion_mean,0.1,0.06,0.1104,,0.9,0.0036,0.01218816,0.00028625842241040967,seed_replicates,220,False,
InventoryGap_mean,0.0,0.25,0.322,,0.9,0.0625,0.10368400000000001,0.009274254961802092,seed_replicates,220,False,
CreditRejections_mean,30.0,5.0,18.400000000000002,,0.9,25.0,338.56000000000006,27.117249999999977,seed_replicates,220,False,
FirmDowntimeShare_mean,0.05,0.04,0.06440000000000001,,0.9,0.0016,0.004147360000000002,0.0,seed_replicates,220,False,
