component,reduction,n_points,newly_implausible_count,newly_implausible_share,share_at_max_reduction,share_mean,rank_at_max_reduction,rank_by_mean
CU,0.1,9,0,0.0,0.0,0.0,2,2
CU,0.2,9,0,0.0,0.0,0.0,2,2
CU,0.3,9,0,0.0,0.0,0.0,2,2
CU,0.4,9,0,0.0,0.0,0.0,2,2
EV,0.1,9,0,0.0,0.0,0.0,2,2
EV,0.2,9,0,0.0,0.0,0.0,2,2
EV,0.3,9,0,0.0,0.0,0.0,2,2
EV,0.4,9,0,0.0,0.0,0.0,2,2
MD,0.1,9,0,0.0,0.3333333333333333,0.08333333333333333,1,1
MD,0.2,9,0,0.0,0.3333333333333333,0.08333333333333333,1,1
MD,0.3,9,0,0.0,0.3333333333333333,0.08333333333333333,1,1
MD,0.4,9,3,0.3333333333333333,0.3333333333333333,0.08333333333333333,1,1
OU,0.1,9,0,0.0,0.0,0.0,2,2
OU,0.2,9,0,0.0,0.0,0.0,2,2
OU,0.3,9,0,0.0,0.0,0.0,2,2
OU,0.4,9,0,0.0,0.0,0.0,2,2
