metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,7.5,,0.9,25.0,56.25,7.749333333333333,seed_replicates,20,True,
Output_mean,80.0,10.0,15.0,,0.9,100.0,225.0,12.86346560008218,seed_replicates,20,True,
Consumption_mean,80.0,10.0,15.0,,0.9,100.0,225.0,14.241813309727394,seed_replicates,20,True,
AvgPrice_mean,1.05,0.05,0.1,,0.9,0.0025000000000000005,0.010000000000000002,0.000140322908771398,seed_replicates,20,True,
DefaultsHH_rate,0.004,0.002,0.003,,0.9,4e-06,9e-06,1.8425925925924827e-07,seed_replicates,20,True,
BankFailed_share,0.0,0.01,0.01,,0.9,0.0001,0.0001,0.0,seed_replicates,20,True,
BankResolved_share,0.05,0.03,0.05,,0.9,0.0009,0.0025000000000000005,9.259259259259293e-05,seed_replicates,20,True,
BankResolutionHaircut_mean,0.02,0.01,0.02,,0.9,0.0001,0.0004,7.52707903945198e-07,seed_replicates,20,True,
BankBailedOut_share,0.02,0.02,0.03,,0.9,0.0004,0.0009,0.0,seed_replicates,20,True,
BankBailoutAmount_mean,0.2,0.2,0.3,,0.9,0.04000000000000001,0.09,0.0,seed_replicates,20,True,
Transfers_mean,6.5,2.0,3.0,,0.9,4.0,9.0,0.10063614942782825,seed_replicates,20,True,
HH_Deposit_mean,1.5,1.0,1.5,,0.9,1.0,2.25,0.47284677216673,seed_replicates,20,True,
Bank_Equity_mean,10.0,7.5,10.0,,0.9,56.25,100.0,35.949429690672694,seed_replicates,20,True,
