metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,35.78333333333333,,0.9,25.0,1280.4469444444444,18.18533333333333,seed_replicates,19,True,
Output_mean,80.0,10.0,34.95201883941704,,0.9,100.0,1221.6436209509639,46.4825684380869,seed_replicates,19,True,
Consumption_mean,80.0,10.0,48.044101305277636,,0.9,100.0,2308.23567023178,30.466925854801364,seed_replicates,19,True,
AvgPrice_mean,1.05,0.05,0.2734994929444037,,0.9,0.0025000000000000005,0.07480197264084591,0.00013460930842550285,seed_replicates,19,True,
DefaultsHH_rate,0.004,0.002,0.007111111111111099,,0.9,4e-06,5.056790123456773e-05,9.314814814814177e-07,seed_replicates,19,True,
BankFailed_share,0.0,0.01,1e-09,,0.9,0.0001,1e-18,0.0,seed_replicates,19,True,
BankResolved_share,0.05,0.03,0.06666666666666664,,0.9,0.0009,0.004444444444444441,0.002277777777777777,seed_replicates,19,True,
BankResolutionHaircut_mean,0.02,0.01,0.039336247302051264,,0.9,0.0001,0.0015473403518081353,0.0006139841909292073,seed_replicates,19,True,
BankBailedOut_share,0.02,0.02,0.02,,0.9,0.0004,0.0004,0.002518518518518519,seed_replicates,19,True,
BankBailoutAmount_mean,0.2,0.2,1.03474310017205,,0.9,0.04000000000000001,1.070693283353665,0.06821888870262488,seed_replicates,19,True,
Transfers_mean,6.5,2.0,3.418408213970265,,0.9,4.0,11.685514717339377,0.2755010963294014,seed_replicates,19,True,
HH_Deposit_mean,1.5,1.0,1.4726765341247952,,0.9,1.0,2.168776174161819,0.112143139771744,seed_replicates,19,True,
Bank_Equity_mean,10.0,7.5,9.030137882152365,,0.9,56.25,81.54339017068321,5.224557205829662,seed_replicates,19,True,
