metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,32.205,32.205,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,31.45681695547534,31.45681695547534,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,43.23969117474987,43.23969117474987,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.2461495436499633,0.2461495436499633,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.00639999999999999,0.00639999999999999,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,1e-09,1e-09,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.05999999999999998,0.05999999999999998,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.03540262257184614,0.03540262257184614,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.018000000000000002,0.018000000000000002,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.931268790154845,0.931268790154845,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,3.0765673925732386,3.0765673925732386,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.3254088807123157,1.3254088807123157,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,8.127124093937129,8.127124093937129,0.0,fixed_baseline,0,,,
