metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,36.233333333333334,,0.9,25.0,1312.8544444444444,30.853999999999985,seed_replicates,19,True,
Output_mean,80.0,10.0,24.908179637763787,,0.9,100.0,620.4174128671106,74.3411909623263,seed_replicates,19,True,
Consumption_mean,80.0,10.0,40.82047448334516,,0.9,100.0,1666.3111370454333,54.3066118176431,seed_replicates,19,True,
AvgPrice_mean,1.05,0.05,0.18809801281111904,,0.9,0.0025000000000000005,0.0353808624234919,0.00017440617755581472,seed_replicates,19,True,
DefaultsHH_rate,0.004,0.002,0.005055555555555501,,0.9,4e-06,2.5558641975308086e-05,5.037037037036893e-07,seed_replicates,19,True,
BankFailed_share,0.0,0.01,1e-09,,0.9,0.0001,1e-18,0.0,seed_replicates,19,True,
BankResolved_share,0.05,0.03,0.06666666666666665,,0.9,0.0009,0.004444444444444443,0.0008888888888888895,seed_replicates,19,True,
BankResolutionHaircut_mean,0.02,0.01,0.04657798956139589,,0.9,0.0001,0.0021695091115815045,0.000483881636816031,seed_replicates,19,True,
BankBailedOut_share,0.02,0.02,0.02,,0.9,0.0004,0.0004,0.0004259259259259251,seed_replicates,19,True,
BankBailoutAmount_mean,0.2,0.2,0.3144277603026124,,0.9,0.04000000000000001,0.09886481644891706,0.028896668564067595,seed_replicates,19,True,
Transfers_mean,6.5,2.0,2.8753263243793064,,0.9,4.0,8.267501471668613,0.48736478706586983,seed_replicates,19,True,
HH_Deposit_mean,1.5,1.0,1.3113820856448404,,0.9,1.0,1.7197229745502114,0.15058734990178355,seed_replicates,19,True,
Bank_Equity_mean,10.0,7.5,8.803003326455858,,0.9,56.25,77.4928675655929,11.505703912546004,seed_replicates,19,True,
