param,initial_low,initial_high,nroy_min,nroy_max,nroy_p05,nroy_p95,shrink_pct
alpha_mean,0.57,0.92,0.5705162155185682,0.9192582580924928,0.582410436712717,0.9005586421070748,0.3594164074501416
alpha_std,0.03,0.13,0.0301708165031181,0.1298148142266323,0.0366083283339967,0.1255914675215629,0.35600227648580063
wage,0.9,1.45,0.9013527111443994,1.4473830168237534,0.9266463756315244,1.4271415128206901,0.7217626037538172
productivity,0.95,1.95,0.9502038715465582,1.949766080515683,1.014895239888832,1.905805668187222,0.04377910308752675
loan_rate,0.012,0.073,0.0120900988679186,0.072725096958893,0.0146574606504299,0.0690755909907439,0.5983637852878698
deposit_rate,0.001,0.028,0.0011497888278839,0.0278741670000396,0.0027220822738185,0.0266279621807878,1.0208215846085222
bank_credit_multiplier,4.2,11.5,4.212126823788323,11.493706429559628,4.565876049839852,11.151921916486373,0.25233416751636595
hh_debt_cap_multiplier,2.1,4.8,2.1025225918558124,4.792869504220842,2.199050494458909,4.573548138257426,0.35752176425817295
firm_debt_cap_multiplier,1.6,4.8,1.604795120244792,4.792416514853542,1.7804363845607603,4.649887966881792,0.386831418476552
adaptation_rate,0.25,0.95,0.2512878245970598,0.9499308109144566,0.28836614424702556,0.9145291869417257,0.19385909751472585
price_elasticity,0.95,2.9,0.9562022607906756,2.8952228577348853,1.0681284751536366,2.8055144519775888,0.563046310553339
skill_wage_weight,0.03,0.49,0.0303590859502237,0.4897511360346833,0.0553178446214664,0.46758257227925226,0.13216302511747102
demand_smoothing,0.06,0.35,0.0601490097682665,0.3488906473188561,0.069833379354003,0.3139684295642626,0.43391808600357074
